displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.161589940656242233e-07	2.161589860452703102e-07	6.006006006006005954e-02
3.436466599424269603e-06	3.436374949986238059e-06	1.201201201201201191e-01
1.712710815657479850e-05	1.712436984228547676e-05	1.801801801801801717e-01
5.424549173703893228e-05	5.424179228872122021e-05	2.402402402402402382e-01
1.322498689677889202e-04	1.322478771520700495e-04	3.003003003003003046e-01
2.726804426120394385e-04	2.726757825655872023e-04	3.603603603603603434e-01
5.011593665692476570e-04	5.011325899330066865e-04	4.204204204204204376e-01
8.473907458751140081e-04	8.472993039285411140e-04	4.804804804804804763e-01
1.344819268884562538e-03	1.344580884194039984e-03	5.405405405405405705e-01
2.029409653014529850e-03	2.028865726982904353e-03	6.006006006006006093e-01
2.940068253019660453e-03	2.938944422802590439e-03	6.606606606606606480e-01
4.117162423099095421e-03	4.114967600498000908e-03	7.207207207207206867e-01
5.602393799480638592e-03	5.598315096540640474e-03	7.807807807807807254e-01
7.438778641069436308e-03	7.431575096759149464e-03	8.408408408408408752e-01
9.669562870059690562e-03	9.657386160059412347e-03	9.009009009009009139e-01
1.233820654370103992e-02	1.231840031180779851e-02	9.609609609609609526e-01
1.548702638474910333e-02	1.545584931342437046e-02	1.021021021021021102e+00
1.915649837089021881e-02	1.910880728318175084e-02	1.081081081081081141e+00
2.338525773474147210e-02	2.331419069620517190e-02	1.141141141141141180e+00
2.820975124186071367e-02	2.810638850933981983e-02	1.201201201201201219e+00
3.366313423089007523e-02	3.351603045861923508e-02	1.261261261261261257e+00
3.977508915091914482e-02	3.956983224529762866e-02	1.321321321321321296e+00
4.657056457620459278e-02	4.628934129937169184e-02	1.381381381381381335e+00
5.406970828852928485e-02	5.369086808174706321e-02	1.441441441441441373e+00
6.228778820663321419e-02	6.178541770411338785e-02	1.501501501501501412e+00
7.123432573963464631e-02	7.057784196140066968e-02	1.561561561561561451e+00
8.091294191110165457e-02	8.006664387366514701e-02	1.621621621621621712e+00
9.132053020626035300e-02	9.024344567537749551e-02	1.681681681681681750e+00
1.024470944589989663e-01	1.010928668069247804e-01	1.741741741741741789e+00
1.142757488518677117e-01	1.125925239146100404e-01	1.801801801801801828e+00
1.267825269596720150e-01	1.247130639852330608e-01	1.861861861861861867e+00
1.399357962804072819e-01	1.374175842335700892e-01	1.921921921921921905e+00
1.536963222222040570e-01	1.506620378985320807e-01	1.981981981981981944e+00
1.680172857199184189e-01	1.643956216717108176e-01	2.042042042042042205e+00
1.828442832181066402e-01	1.785607757513671401e-01	2.102102102102102243e+00
1.981153273324401665e-01	1.930931849736212957e-01	2.162162162162162282e+00
2.137610850311097432e-01	2.079223891586353123e-01	2.222222222222222321e+00
2.297044092341391508e-01	2.229716052205545085e-01	2.282282282282282360e+00
2.458611236318624937e-01	2.381586274494064404e-01	2.342342342342342398e+00
2.621405620544815518e-01	2.533965966129212988e-01	2.402402402402402437e+00
2.784455684720658630e-01	2.685939999565320480e-01	2.462462462462462476e+00
2.946727618827695849e-01	2.836549689128284313e-01	2.522522522522522515e+00
3.107128210388159228e-01	2.984798906993068046e-01	2.582582582582582553e+00
3.264506978449852603e-01	3.129655451647725406e-01	2.642642642642642592e+00
3.417673445605294846e-01	3.270066533406986165e-01	2.702702702702702631e+00
3.565397952005162074e-01	3.404959564416125128e-01	2.762762762762762669e+00
3.706412375382420743e-01	3.533242605613045040e-01	2.822822822822822708e+00
