displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.257687636764824035e-01	7.241312017908907829e-04	3.144737390980773678e-02
2.514131601779277525e-01	3.255883956253028799e-03	6.289474781961547356e-02
3.768089453105050168e-01	8.114031869109424033e-03	9.434212172942321728e-02
5.018321207211841051e-01	1.577883435000968296e-02	1.257894956392309471e-01
6.263590565142306277e-01	2.668124634639000223e-02	1.572368695490386770e-01
7.502666135033485562e-01	4.119575784987860451e-02	1.886842434588464346e-01
8.734322649785817294e-01	5.963615171060410169e-02	2.201316173686541644e-01
9.957342178675664401e-01	8.225357729131774209e-02	2.515789912784618942e-01
1.117051533171320221e+00	1.092364230361384247e-01	2.830263651882696241e-01
1.237264245555475428e+00	1.407115472043170001e-01	3.144737390980773539e-01
1.356253481978700659e+00	1.767465141633582648e-01	3.459211130078850838e-01
1.473901579240999515e+00	2.173525390245964195e-01	3.773684869176928691e-01
1.590092200335651684e+00	2.624879289165248375e-01	4.088158608275005990e-01
1.704710449489741153e+00	3.120618037162876113e-01	4.402632347373083288e-01
1.817642985779509557e+00	3.659379793890444876e-01	4.717106086471160586e-01
1.928778135208190747e+00	4.239389325655029128e-01	5.031579825569237885e-01
2.038006001135492795e+00	4.858497027001300594e-01	5.346053564667315738e-01
2.145218572949529889e+00	5.514217427641027180e-01	5.660527303765392482e-01
2.250309832873748306e+00	6.203766744732277516e-01	5.975001042863470335e-01
2.353175860803220054e+00	6.924098891861255600e-01	6.289474781961547079e-01
2.453714937066647117e+00	7.671939603166394450e-01	6.603948521059624932e-01
2.551827643012447133e+00	8.443819759349372456e-01	6.918422260157701675e-01
2.647416959319472074e+00	9.236106879205734366e-01	7.232895999255779529e-01
2.740388361935123474e+00	1.004503506842657323e+00	7.547369738353857382e-01
2.830649915546017414e+00	1.086673362100516460e+00	7.861843477451934126e-01
2.918112364488753663e+00	1.169725423062169645e+00	8.176317216550011979e-01
3.002689221010897302e+00	1.253259690129968851e+00	8.490790955648088723e-01
3.084296850794898681e+00	1.336873465627617330e+00	8.805264694746166576e-01
3.162854555660374878e+00	1.420163724482687240e+00	9.119738433844243319e-01
3.238284653362975885e+00	1.502729363877737256e+00	9.434212172942321173e-01
3.310512554410924402e+00	1.584173312601846906e+00	9.748685912040397916e-01
3.379466835823270898e+00	1.664104631147643953e+00	1.006315965113847577e+00
3.445079311756923168e+00	1.742140407350465603e+00	1.037763339023655362e+00
3.507285100932614252e+00	1.817907671847307061e+00	1.069210712933463148e+00
3.566022690793135386e+00	1.891045097820889698e+00	1.100658086843270711e+00
3.621233998330386505e+00	1.961204737571491608e+00	1.132105460753078496e+00
3.672864427521095987e+00	2.028053542190802805e+00	1.163552834662886282e+00
3.720862923314416815e+00	2.091274906408608469e+00	1.195000208572694067e+00
3.765182022118012561e+00	2.150570015121779033e+00	1.226447582482501630e+00
3.805777898732706443e+00	2.205659189250753105e+00	1.257894956392309416e+00
3.842610409689283912e+00	2.256283053777553338e+00	1.289342330302117201e+00
3.875643132944598168e+00	2.302203678646446150e+00	1.320789704211924986e+00
3.904843403897718446e+00	2.343205562498733130e+00	1.352237078121732772e+00
3.930182347690510891e+00	2.379096563083271665e+00	1.383684452031540335e+00
3.951634907760712245e+00	2.409708701866922542e+00	1.415131825941348120e+00
3.969179870619254480e+00	2.434898846033443753e+00	1.446579199851155906e+00
3.982799886827350644e+00	2.454549301574608489e+00	1.478026573760963691e+00
3.992481488152585190e+00	2.468568348172587079e+00	1.509473947670771476e+00
3.998215100887055229e+00	2.476890571528676865e+00	1.540921321580579040e+00
3.999995055314389703e+00	2.479485384978100004e+00	1.572368695490386825e+00
3.997819591316277066e+00	2.479903737963637944e+00	1.603816069400194610e+00
3.991690860112973027e+00	2.481046435127565619e+00	1.635263443310002396e+00
3.981614922136050172e+00	2.482810271302364313e+00	1.666710817219809959e+00
3.967601741035507779e+00	2.485027682483586631e+00	1.698158191129617745e+00
3.949665173827155762e+00	2.487470016292213870e+00	1.729605565039425530e+00
3.927822957190026720e+00	2.489852240490099344e+00	1.761052938949233315e+00
3.902096689927355033e+00	2.491838548514071938e+00	1.792500312859041101e+00
3.872511811608475352e+00	2.493049378967257645e+00	1.823947686768848664e+00
3.839097577412756479e+00	2.493069364908258478e+00	1.855395060678656449e+00
3.801887029200446300e+00	2.491456409591615628e+00	1.886842434588464235e+00
3.760916962839035982e+00	2.487751690875947830e+00	1.918289808498272020e+00
3.716227891817451390e+00	2.481489436781803004e+00	1.949737182408079583e+00
3.667864007184054032e+00	2.472208056380385433e+00	1.981184556317887369e+00
3.615873133848064747e+00	2.459460890227026297e+00	2.012631930227695154e+00
3.560306683287624452e+00	2.442826825977870708e+00	2.044079304137502717e+00
3.501219602711251877e+00	2.421920601936572215e+00	2.075526678047310725e+00
3.438670320722981621e+00	2.396402138716097419e+00	2.106974051957118288e+00
3.372720689544889794e+00	2.365985062046990439e+00	2.138421425866926295e+00
3.303435923854173062e+00	2.330443979830422840e+00	2.169868799776733859e+00
3.230884536295228315e+00	2.289620216069359504e+00	2.201316173686541422e+00
3.155138269730525913e+00	2.243426112165094466e+00	2.232763547596349429e+00
3.076272026297267814e+00	2.191847717705934340e+00	2.264210921506156993e+00
2.994363793339962498e+00	2.134945837754252285e+00	2.295658295415965000e+00
2.909494566292195383e+00	2.072855245344745079e+00	2.327105669325772563e+00
2.821748268583813335e+00	2.005782703104292519e+00	2.358553043235580127e+00
2.731211668652756330e+00	1.934003257082185456e+00	2.390000417145388134e+00
2.637974294143584419e+00	1.857855721150106332e+00	2.421447791055195697e+00
2.542128343377537902e+00	1.777736752758360073e+00	2.452895164965003261e+00
2.443768594181692233e+00	1.694094230214668650e+00	2.484342538874811268e+00
2.342992310167358649e+00	1.607420050703403769e+00	2.515789912784618831e+00
2.239899144550381749e+00	1.518242568542876647e+00	2.547237286694426839e+00
2.134591041608490336e+00	1.427118798313398385e+00	2.578684660604234402e+00
2.027172135873091641e+00	1.334626648327515985e+00	2.610132034514041965e+00
1.917748649155239793e+00	1.241357354177828221e+00	2.641579408423849973e+00
1.806428785507581569e+00	1.147908175651396245e+00	2.673026782333657536e+00
1.693322624226138107e+00	1.054875611884993125e+00	2.704474156243465544e+00
1.578542010997764367e+00	9.628489927714632968e-01	2.735921530153273107e+00
1.462200447300877837e+00	8.724047804598653588e-01	2.767368904063080670e+00
1.344412978168864958e+00	7.841013977839023097e-01	2.798816277972888678e+00
1.225296078427135171e+00	6.984747314938717366e-01	2.830263651882696241e+00
1.104967537516297948e+00	6.160342400418707953e-01	2.861711025792504248e+00
9.835463430154022246e-01	5.372596610421224161e-01	2.893158399702311812e+00
8.611525629803631343e-01	4.625983115997608364e-01	2.924605773612119375e+00
7.379072272139701738e-01	3.924629190796146694e-01	2.956053147521927382e+00
6.139322075848665516e-01	3.272299463290569976e-01	2.987500521431734946e+00
4.893500975138292408e-01	2.672383700340891788e-01	3.018947895341542953e+00
3.642840907465643707e-01	2.127888579508188382e-01	3.050395269251350516e+00
2.388578595328413601e-01	1.641433039369505076e-01	3.081842643161158080e+00
1.131954323324731032e-01	1.215246675762535339e-01	3.113290017070966087e+00
-1.257892883094399381e-02	8.511708933900957730e-02	3.144737390980773650e+00
-1.383408512472671104e-01	5.506623232623561459e-02	3.176184764890581214e+00
-2.639659745064809049e-01	3.147982304123879416e-02	3.207632138800389221e+00
-3.893300734732087487e-01	1.442835878210620149e-02	3.239079512710196784e+00
-5.143091811274739245e-01	3.945957806792170335e-03	3.270526886620004792e+00
-6.387797111501962721e-01	3.132940086168282788e-05	3.301974260529812355e+00
-7.626185801322561408e-01	2.648847005860305911e-03	3.333421634439619918e+00
-8.857033292862355189e-01	1.172970842130289029e-02	3.364869008349427926e+00
-1.007912245540498963e+00	2.717317159275427912e-02	3.396316382259235489e+00
-1.129124481895886101e+00	4.884785695115070880e-02	3.427763756169043496e+00
-1.249220176925956549e+00	7.659310674039135347e-02	3.459211130078851060e+00
-1.368080573302672853e+00	1.102203984266834080e-01	3.490658503988658623e+00
-1.485588135230271556e+00	1.495148030239420167e-01	3.522105877898466630e+00
-1.601626664671213840e+00	1.942364897596991213e-01	3.553553251808274194e+00
-1.716081416249305214e+00	2.441222680381970045e-01	3.585000625718082201e+00
-1.828839210716315167e+00	2.988871697849098119e-01	3.616447999627889764e+00
-1.939788546869949171e+00	3.582260636693381239e-01	3.647895373537697328e+00
-2.048819711812456479e+00	4.218153033041702749e-01	3.679342747447505335e+00
-2.155824889440864034e+00	4.893144053998689791e-01	3.710790121357312898e+00
-2.260698267061568956e+00	5.603677580686972082e-01	3.742237495267120462e+00
-2.363336140023831078e+00	6.346063382881582671e-01	3.773684869176928469e+00
-2.463637014268716730e+00	7.116494736823824052e-01	3.805132243086736032e+00
-2.561501706692103308e+00	7.911065990635236522e-01	3.836579616996544040e+00
-2.656833443222454516e+00	8.725790373948836276e-01	3.868026990906351603e+00
-2.749537954516439342e+00	9.556617926035768651e-01	3.899474364816159166e+00
