Time[s]	Voltage[kV]	Displacement[$\mu$-m]

0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.144737390980773678e-02	1.257687636764824035e-01	2.690968602178202274e-02
6.289474781961547356e-02	2.514131601779277525e-01	5.706035362888166318e-02
9.434212172942321728e-02	3.768089453105050168e-01	9.007792109673393166e-02
1.257894956392309471e-01	5.018321207211841051e-01	1.256138302497367687e-01
1.572368695490386770e-01	6.263590565142306277e-01	1.633439510554033358e-01
1.886842434588464346e-01	7.502666135033485562e-01	2.029673812460480176e-01
2.201316173686541644e-01	8.734322649785817294e-01	2.442051426784540569e-01
2.515789912784618942e-01	9.957342178675664401e-01	2.867988446478084152e-01
2.830263651882696241e-01	1.117051533171320221e+00	3.305093388032150914e-01
3.144737390980773539e-01	1.237264245555475428e+00	3.751153785228179549e-01
3.459211130078850838e-01	1.356253481978700659e+00	4.204123144763462494e-01
3.773684869176928691e-01	1.473901579240999515e+00	4.662108310888931073e-01
4.088158608275005990e-01	1.590092200335651684e+00	5.123357579913048188e-01
4.402632347373083288e-01	1.704710449489741153e+00	5.586249222119324953e-01
4.717106086471160586e-01	1.817642985779509557e+00	6.049280778646701773e-01
5.031579825569237885e-01	1.928778135208190747e+00	6.511059303719348712e-01
5.346053564667315738e-01	2.038006001135492795e+00	6.970291978820758461e-01
5.660527303765392482e-01	2.145218572949529889e+00	7.425777688323982328e-01
5.975001042863470335e-01	2.250309832873748306e+00	7.876399396127825581e-01
6.289474781961547079e-01	2.353175860803220054e+00	8.321117047525082855e-01
6.603948521059624932e-01	2.453714937066647117e+00	8.758960899082947060e-01
6.918422260157701675e-01	2.551827643012447133e+00	9.189025932790358953e-01
7.232895999255779529e-01	2.647416959319472074e+00	9.610466627175672238e-01
7.547369738353857382e-01	2.740388361935123474e+00	1.002249223917213827e+00
7.861843477451934126e-01	2.830649915546017414e+00	1.042436262848005724e+00
8.176317216550011979e-01	2.918112364488753663e+00	1.081538451957289260e+00
8.490790955648088723e-01	3.002689221010897302e+00	1.119490817349552358e+00
8.805264694746166576e-01	3.084296850794898681e+00	1.156232444462452102e+00
9.119738433844243319e-01	3.162854555660374878e+00	1.191706224068116216e+00
9.434212172942321173e-01	3.238284653362975885e+00	1.225858623120030577e+00
9.748685912040397916e-01	3.310512554410924402e+00	1.258639468871784128e+00
1.006315965113847577e+00	3.379466835823270898e+00	1.290001795017217789e+00
1.037763339023655362e+00	3.445079311756923168e+00	1.319901665788200118e+00
1.069210712933463148e+00	3.507285100932614252e+00	1.348298064912690997e+00
1.100658086843270711e+00	3.566022690793135386e+00	1.375152754358907492e+00
1.132105460753078496e+00	3.621233998330386505e+00	1.400430197322055648e+00
1.163552834662886282e+00	3.672864427521095987e+00	1.424097448277610978e+00
1.195000208572694067e+00	3.720862923314416815e+00	1.446124097859035285e+00
1.226447582482501630e+00	3.765182022118012561e+00	1.466482190523219042e+00
1.257894956392309416e+00	3.805777898732706443e+00	1.485146184471667796e+00
1.289342330302117201e+00	3.842610409689283912e+00	1.502092891194666935e+00
1.320789704211924986e+00	3.875643132944598168e+00	1.517301446201922754e+00
1.352237078121732772e+00	3.904843403897718446e+00	1.530753266368794385e+00
1.383684452031540335e+00	3.930182347690510891e+00	1.542432028675257971e+00
1.415131825941348120e+00	3.951634907760712245e+00	1.552323645979446720e+00
1.446579199851155906e+00	3.969179870619254480e+00	1.560416241274565685e+00
1.478026573760963691e+00	3.982799886827350644e+00	1.566700131350798220e+00
1.509473947670771476e+00	3.992481488152585190e+00	1.571167829409890526e+00
1.540921321580579040e+00	3.998215100887055229e+00	1.573814020629082044e+00
1.572368695490386825e+00	3.999995055314389703e+00	1.574638175892512759e+00
1.603816069400194610e+00	3.997819591316277066e+00	1.574771011278667698e+00
1.635263443310002396e+00	3.991690860112973027e+00	1.575133783247494756e+00
1.666710817219809959e+00	3.981614922136050172e+00	1.575693584204227227e+00
1.698158191129617745e+00	3.967601741035507779e+00	1.576397057369616661e+00
1.729605565039425530e+00	3.949665173827155762e+00	1.577171524055710927e+00
1.761052938949233315e+00	3.927822957190026720e+00	1.577926563719015185e+00
1.792500312859041101e+00	3.902096689927355033e+00	1.578555842697391576e+00
1.823947686768848664e+00	3.872511811608475352e+00	1.578939320862982942e+00
1.855395060678656449e+00	3.839097577412756479e+00	1.578945649763872749e+00
1.886842434588464235e+00	3.801887029200446300e+00	1.578434797383666321e+00
1.918289808498272020e+00	3.760916962839035982e+00	1.577260818912315399e+00
1.949737182408079583e+00	3.716227891817451390e+00	1.575274400471804448e+00
1.981184556317887369e+00	3.667864007184054032e+00	1.572325683940952956e+00
2.012631930227695154e+00	3.615873133848064747e+00	1.568266842800365435e+00
2.044079304137502717e+00	3.560306683287624452e+00	1.562954518205142973e+00
2.075526678047310725e+00	3.501219602711251877e+00	1.556252101022379986e+00
2.106974051957118288e+00	3.438670320722981621e+00	1.548031698227170461e+00
2.138421425866926295e+00	3.372720689544889794e+00	1.538175887877257786e+00
2.169868799776733859e+00	3.303435923854173062e+00	1.526579175748975947e+00
2.201316173686541422e+00	3.230884536295228315e+00	1.513149105696249386e+00
2.232763547596349429e+00	3.155138269730525913e+00	1.497807101119865258e+00
2.264210921506156993e+00	3.076272026297267814e+00	1.480489013031145218e+00
2.295658295415965000e+00	2.994363793339962498e+00	1.461145385563754395e+00
2.327105669325772563e+00	2.909494566292195383e+00	1.439741381410128529e+00
2.358553043235580127e+00	2.821748268583813335e+00	1.416256580957099276e+00
2.390000417145388134e+00	2.731211668652756330e+00	1.390684456331552354e+00
2.421447791055195697e+00	2.637974294143584419e+00	1.363031812229672957e+00
2.452895164965003261e+00	2.542128343377537902e+00	1.333317948862295932e+00
2.484342538874811268e+00	2.443768594181692233e+00	1.301573751354362818e+00
2.515789912784618831e+00	2.342992310167358649e+00	1.267840703993764251e+00
2.547237286694426839e+00	2.239899144550381749e+00	1.232169861887100648e+00
2.578684660604234402e+00	2.134591041608490336e+00	1.194620775942473845e+00
2.610132034514041965e+00	2.027172135873091641e+00	1.155260424461738378e+00
2.641579408423849973e+00	1.917748649155239793e+00	1.114162175887257522e+00
2.673026782333657536e+00	1.806428785507581569e+00	1.071404767420509607e+00
2.704474156243465544e+00	1.693322624226138107e+00	1.027071376236818878e+00
2.735921530153273107e+00	1.578542010997764367e+00	9.812486905833114337e-01
2.767368904063080670e+00	1.462200447300877837e+00	9.340261133714974351e-01
2.798816277972888678e+00	1.344412978168864958e+00	8.854950015578305633e-01
2.830263651882696241e+00	1.225296078427135171e+00	8.357480071731381299e-01
2.861711025792504248e+00	1.104967537516297948e+00	7.848784874373043730e-01
2.893158399702311812e+00	9.835463430154022246e-01	7.329799867950845815e-01
2.924605773612119375e+00	8.611525629803631343e-01	6.801458017217785201e-01
2.956053147521927382e+00	7.379072272139701738e-01	6.264686098118681379e-01
2.987500521431734946e+00	6.139322075848665516e-01	5.720401614651343669e-01
3.018947895341542953e+00	4.893500975138292408e-01	5.169510325302476561e-01
3.050395269251350516e+00	3.642840907465643707e-01	4.612904269013382019e-01
3.081842643161158080e+00	2.388578595328413601e-01	4.051460279170345236e-01
3.113290017070966087e+00	1.131954323324731032e-01	3.486038834784453977e-01
3.144737390980773650e+00	-1.257892883094399381e-02	2.917483321957635156e-01
3.176184764890581214e+00	-1.383408512472671104e-01	2.346619532992845758e-01
3.207632138800389221e+00	-2.639659745064809049e-01	1.774255422458637932e-01
3.239079512710196784e+00	-3.893300734732087487e-01	1.201181034736488046e-01
3.270526886620004792e+00	-5.143091811274739245e-01	6.281685925603229526e-02
3.301974260529812355e+00	-6.387797111501962721e-01	5.597267267308470018e-03
3.333421634439619918e+00	-7.626185801322561408e-01	-5.146695061746232869e-02
3.364869008349427926e+00	-8.857033292862355189e-01	-1.083037784257912667e-01
3.396316382259235489e+00	-1.007912245540498963e+00	-1.648428694022106566e-01
3.427763756169043496e+00	-1.129124481895886101e+00	-2.210155129196833268e-01
3.459211130078851060e+00	-1.249220176925956549e+00	-2.767545966021004444e-01
3.490658503988658623e+00	-1.368080573302672853e+00	-3.319945758994917728e-01
3.522105877898466630e+00	-1.485588135230271556e+00	-3.866714406624078837e-01
3.553553251808274194e+00	-1.601626664671213840e+00	-4.407226903163701803e-01
3.585000625718082201e+00	-1.716081416249305214e+00	-4.940873081128445699e-01
3.616447999627889764e+00	-1.828839210716315167e+00	-5.467057433253375009e-01
3.647895373537697328e+00	-1.939788546869949171e+00	-5.985198941299596509e-01
3.679342747447505335e+00	-2.048819711812456479e+00	-6.494730966746584677e-01
3.710790121357312898e+00	-2.155824889440864034e+00	-6.995101181540328561e-01
3.742237495267120462e+00	-2.260698267061568956e+00	-7.485771557219049743e-01
3.773684869176928469e+00	-2.363336140023831078e+00	-7.966218289051325563e-01
3.805132243086736032e+00	-2.463637014268716730e+00	-8.435931920554968766e-01
3.836579616996544040e+00	-2.561501706692103308e+00	-8.894417344961521588e-01
3.868026990906351603e+00	-2.656833443222454516e+00	-9.341193914028782519e-01
3.899474364816159166e+00	-2.749537954516439342e+00	-9.775795581964553671e-01
3.930921738725967174e+00	-2.839523569177713203e+00	-1.019777099056807357e+00
3.962369112635774737e+00	-2.926701304406711834e+00	-1.060668369100840280e+00
