displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.557611037490226453e-07	1.713599395118322688e-07	6.006006006006005954e-02
1.653059980673557622e-06	1.107550187049633621e-06	1.201201201201201191e-01
6.494902662194372018e-06	4.351584783566981348e-06	1.801801801801801717e-01
1.858081564229806140e-05	1.244914647837017478e-05	2.402402402402402382e-01
4.304619215165786047e-05	2.884094871872720339e-05	3.003003003003003046e-01
8.647608834113005541e-05	5.793897901089000238e-05	3.603603603603603434e-01
1.569582909666041200e-04	1.051620539207314125e-04	4.204204204204204376e-01
2.636171632573852111e-04	1.766234944544051741e-04	4.804804804804804763e-01
4.168852580026718296e-04	2.793131023594959341e-04	5.405405405405405705e-01
6.278761577974980267e-04	4.206769565419351598e-04	6.006006006006006093e-01
9.087918966492784193e-04	6.088903673419570435e-04	6.606606606606606480e-01
1.272586537593592719e-03	8.526324270002586967e-04	7.207207207207206867e-01
1.732721109381101399e-03	1.160921754824831851e-03	7.807807807807807254e-01
2.303144492912404494e-03	1.543103591443494320e-03	8.408408408408408752e-01
2.998169909468315075e-03	2.008766782879216686e-03	9.009009009009009139e-01
3.832151050763463532e-03	2.567526492923924864e-03	9.609609609609609526e-01
4.819430550428930281e-03	3.228989404688295279e-03	1.021021021021021102e+00
5.974140425078960058e-03	4.002618943480809426e-03	1.081081081081081141e+00
7.309993709634181151e-03	4.897594875350149042e-03	1.141141141141141180e+00
8.840270382292370402e-03	5.922803579277972734e-03	1.201201201201201219e+00
1.057735473558479855e-02	7.086524192668715479e-03	1.261261261261261257e+00
1.253286322392400606e-02	8.396514904243432623e-03	1.321321321321321296e+00
1.471718245154595046e-02	9.859697822640237780e-03	1.381381381381381335e+00
1.713958571024032373e-02	1.148223784746342339e-02	1.441441441441441373e+00
1.980782036572574165e-02	1.326925793178895113e-02	1.501501501501501412e+00
2.272824170349977899e-02	1.522493087555710709e-02	1.561561561561561451e+00
2.590533844470999797e-02	1.735214990977866287e-02	1.621621621621621712e+00
2.934192343035983697e-02	1.965266014611468867e-02	1.681681681681681750e+00
3.303869820784691852e-02	2.212675428002719435e-02	1.741741741741741789e+00
3.699441260106380025e-02	2.477338404089464777e-02	1.801801801801801828e+00
4.120550432481603215e-02	2.758990755963022443e-02	1.861861861861861867e+00
4.566623892097106813e-02	3.057218773466990197e-02	1.921921921921921905e+00
5.036853652699892908e-02	3.371447590097903513e-02	1.981981981981981944e+00
5.530179123349282522e-02	3.700928601873228196e-02	2.042042042042042205e+00
6.045266162461013226e-02	4.044724703544739369e-02	2.102102102102102243e+00
6.580570770715712947e-02	4.401757359093128735e-02	2.162162162162162282e+00
7.134296932530312385e-02	4.770776458182538621e-02	2.222222222222222321e+00
7.704381679720352649e-02	5.150350519230822988e-02	2.282282282282282360e+00
8.288533861695601690e-02	5.538899133485176984e-02	2.342342342342342398e+00
8.884208761492194684e-02	5.934672936089535611e-02	2.402402402402402437e+00
9.488618066625770231e-02	6.335763480269135384e-02	2.462462462462462476e+00
1.009875853922916344e-01	6.740129505807658516e-02	2.522522522522522515e+00
1.071138980926215761e-01	7.145578671552389738e-02	2.582582582582582553e+00
1.132305957405823071e-01	7.549790007118260815e-02	2.642642642642642592e+00
1.193012612516654997e-01	7.950333840144005459e-02	2.702702702702702631e+00
1.252874332231260768e-01	8.344660879218397664e-02	2.762762762762762669e+00
1.311489888595120945e-01	8.730131406120687776e-02	2.822822822822822708e+00
1.368442623012649517e-01	9.104025784485533790e-02	2.882882882882882747e+00
1.423300498043064688e-01	9.463547140602011909e-02	2.942942942942942786e+00
1.475622171529358262e-01	9.805856643673860340e-02	3.003003003003002824e+00
1.524956926566801985e-01	1.012807800558720578e-01	3.063063063063062863e+00
1.570845958798686715e-01	1.042730682217146015e-01	3.123123123123122902e+00
1.612826607322883354e-01	1.070062302162789053e-01	3.183183183183182940e+00
1.650433213127012744e-01	1.094510734165007049e-01	3.243243243243243423e+00
1.683199842331345175e-01	1.115785172432651601e-01	3.303303303303303462e+00
1.710664172493633617e-01	1.133596360420608823e-01	3.363363363363363501e+00
1.732368337012697990e-01	1.147658604479197542e-01	3.423423423423423539e+00
