displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.557292983723565527e-07	2.557292031473164946e-07	6.006006006006005954e-02
1.652574894231807135e-06	1.652571735406619782e-06	1.201201201201201191e-01
6.491509698147359852e-06	6.491461838360865971e-06	1.801801801801801717e-01
1.856575977887006353e-05	1.856539132423527995e-05	2.402402402402402382e-01
4.299589232790585185e-05	4.299398468122060820e-05	3.003003003003003046e-01
8.633805771727067271e-05	8.633050492872043928e-05	3.603603603603603434e-01
1.566284231735529402e-04	1.566038067522482625e-04	4.204204204204204376e-01
2.629052065550081417e-04	2.628359199263235395e-04	4.804804804804804763e-01
4.154658868794139370e-04	4.152907529791314287e-04	5.405405405405405705e-01
6.252593668334282965e-04	6.248638004863226510e-04	6.006006006006006093e-01
9.042397647394854283e-04	9.034172319419451428e-04	6.606606606606606480e-01
1.265040003573495928e-03	1.263434411580313796e-03	7.207207207207206867e-01
1.720719752064522748e-03	1.717755876807140845e-03	7.807807807807807254e-01
2.284706475114865482e-03	2.279498843072881933e-03	8.408408408408408752e-01
2.970673278912741057e-03	2.961889283886604430e-03	9.009009009009009139e-01
3.792213744083360039e-03	3.777920101224856338e-03	9.609609609609609526e-01
4.762765864682060729e-03	4.740264135803523918e-03	1.021021021021021102e+00
5.895406450089384770e-03	5.860992041442746568e-03	1.081081081081081141e+00
7.202626319023438042e-03	7.151331087804729987e-03	1.141141141141141180e+00
8.696336894124526845e-03	8.621713271161289202e-03	1.201201201201201219e+00
1.038739474762172092e-02	1.028112803480010252e-02	1.261261261261261257e+00
1.228568406529321859e-02	1.213729595796096856e-02	1.321321321321321296e+00
1.439971671126710588e-02	1.419623136613788056e-02	1.381381381381381335e+00
1.673667933461012863e-02	1.646227287346440152e-02	1.441441441441441373e+00
1.930212271943292784e-02	1.893782322050815287e-02	1.501501501501501412e+00
2.210000895023879128e-02	2.162338510313224077e-02	1.561561561561561451e+00
2.513232901737582833e-02	2.451723295850195480e-02	1.621621621621621712e+00
2.839925479571678985e-02	2.761559966535805793e-02	1.681681681681681750e+00
3.189876063354815661e-02	3.091241537756338892e-02	1.741741741741741789e+00
3.562679742506084241e-02	3.439949215166505925e-02	1.801801801801801828e+00
3.957695078087249824e-02	3.806641402490418963e-02	1.861861861861861867e+00
4.374054749962513061e-02	4.190052774894396925e-02	1.921921921921921905e+00
4.810663695090308667e-02	4.588730089334022016e-02	1.981981981981981944e+00
5.266176335678025150e-02	5.001015242933977423e-02	2.042042042042042205e+00
5.738994618767507411e-02	5.425051667638819408e-02	2.102102102102102243e+00
6.227328176037991853e-02	5.858859932454143354e-02	2.162162162162162282e+00
6.729134772485896587e-02	6.300292336915142011e-02	2.222222222222222321e+00
7.242137112270359556e-02	6.747065491037519680e-02	2.282282282282282360e+00
7.763827045729010390e-02	7.196779217895050984e-02	2.342342342342342398e+00
8.291461639193616062e-02	7.646923859048478100e-02	2.402402402402402437e+00
8.822092797142816467e-02	8.094913702232758856e-02	2.462462462462462476e+00
9.352572271216896826e-02	8.538101652081900306e-02	2.522522522522522515e+00
9.879553572563265496e-02	8.973788457332770863e-02	2.582582582582582553e+00
1.039950955726160475e-01	9.399241184690788897e-02	2.642642642642642592e+00
1.090874813563106338e-01	9.811707145693081278e-02	2.702702702702702631e+00
1.140342408998229334e-01	1.020842166554876279e-01	2.762762762762762669e+00
1.187955238227274418e-01	1.058661498934761330e-01	2.822822822822822708e+00
1.233302857569028993e-01	1.094352126512509737e-01	2.882882882882882747e+00
1.275963462395162673e-01	1.127638753586270026e-01	2.942942942942942786e+00
1.315511645325685985e-01	1.158246612729844638e-01	3.003003003003002824e+00
1.351512762496087927e-01	1.185901336243308235e-01	3.063063063063062863e+00
1.383527548951359321e-01	1.210328986525276568e-01	3.123123123123122902e+00
1.411116068202797891e-01	1.231255483489742536e-01	3.183183183183182940e+00
1.433837607078487231e-01	1.248404586227985502e-01	3.243243243243243423e+00
1.451256043513222682e-01	1.261498596718970688e-01	3.303303303303303462e+00
1.462940976718594688e-01	1.270256589946202053e-01	3.363363363363363501e+00
1.468468960836712134e-01	1.274392903178163949e-01	3.423423423423423539e+00
1.467427900247603723e-01	1.273251126069649131e-01	3.483483483483483578e+00
1.459422340198803791e-01	1.265245566020849199e-01	3.543543543543543617e+00
1.444078289218254096e-01	1.249901515040299227e-01	3.603603603603603656e+00
1.421047764795482504e-01	1.226870990617527635e-01	3.663663663663663694e+00
1.390015803970460762e-01	1.195839029792506031e-01	3.723723723723723733e+00
1.350691689879892077e-01	1.156514915701937207e-01	3.783783783783783772e+00
1.302826276521611149e-01	1.108649502343656001e-01	3.843843843843843811e+00
1.246205016466398058e-01	1.052028242288443050e-01	3.903903903903903849e+00
1.180652311838091550e-01	9.864755376601364034e-02	3.963963963963963888e+00
1.106041454822369180e-01	9.118646806444140329e-02	4.024024024024024371e+00
1.022288362270188794e-01	8.281115880922336470e-02	4.084084084084084409e+00
9.293516472726154332e-02	7.351748730946604249e-02	4.144144144144144448e+00
8.272471424998270595e-02	6.330703683218719124e-02	4.204204204204204487e+00
7.160403676832674535e-02	5.218635935053123759e-02	4.264264264264264526e+00
5.958347885961767093e-02	4.016580144182217010e-02	4.324324324324324564e+00
4.668087550166218763e-02	2.726319808386667987e-02	4.384384384384384603e+00
3.291901569303439662e-02	1.350133827523889579e-02	4.444444444444444642e+00
1.832611825755651319e-02	-1.088550822160046835e-03	4.504504504504504681e+00
2.935621805089153567e-03	-1.620914827797355004e-02	4.564564564564564719e+00
-1.321426029114144973e-02	-3.158740942964163162e-02	4.624624624624624758e+00
-3.008145833238126676e-02	-4.713255261008843233e-02	4.684684684684684797e+00
-4.762023968943072949e-02	-6.275580699482821712e-02	4.744744744744744835e+00
-6.578146735370300757e-02	-7.837238425655436436e-02	4.804804804804804874e+00
-8.451295163954153367e-02	-9.390240845578694262e-02	4.864864864864864913e+00
-1.037593537451761277e-01	-1.092713988741345066e-01	4.924924924924924952e+00
-1.234626391796440487e-01	-1.244110752410848703e-01	4.984984984984984990e+00
-1.435621539148277115e-01	-1.392595381952056177e-01	5.045045045045045029e+00
-1.639947967824138542e-01	-1.537615241952140777e-01	5.105105105105105068e+00
-1.846950932058761541e-01	-1.678683246394356288e-01	5.165165165165165106e+00
-2.055956533131444719e-01	-1.815384550739829461e-01	5.225225225225225145e+00
-2.266271950533583490e-01	-1.947358787594979102e-01	5.285285285285285184e+00
-2.477181276946754107e-01	-2.074309994975446214e-01	5.345345345345345223e+00
-2.687953584315180278e-01	-2.196000609462579189e-01	5.405405405405405261e+00
-2.897843342547375967e-01	-2.312246402975427495e-01	5.465465465465465300e+00
-3.106092033610548531e-01	-2.422907072681898533e-01	5.525525525525525339e+00
-3.311924934116365904e-01	-2.527897950462776877e-01	5.585585585585585378e+00
-3.514557298357472992e-01	-2.627161945665735798e-01	5.645645645645645416e+00
-3.713190954247905795e-01	-2.720685808554358931e-01	5.705705705705705455e+00
-3.907023254322395389e-01	-2.808473161893562109e-01	5.765765765765765494e+00
-4.095242133036685606e-01	-2.890556850669880329e-01	5.825825825825825532e+00
-4.277029361727622825e-01	-2.966984097051898472e-01	5.885885885885885571e+00
-4.451560796124358066e-01	-3.037818110668233373e-01	5.945945945945945610e+00
-4.618008712675762406e-01	-3.103128234356952175e-01	6.006006006006005649e+00
-4.775543789316870624e-01	-3.162987625917195733e-01	6.066066066066065687e+00
-4.923335540550518585e-01	-3.217471259170601727e-01	6.126126126126125726e+00
-5.060557377038295002e-01	-3.266649607814027800e-01	6.186186186186185765e+00
-5.186388767743841388e-01	-3.310584204936155572e-01	6.246246246246245803e+00
-5.300014347227878231e-01	-3.349326519293222004e-01	6.306306306306305842e+00
-5.400628011273213014e-01	-3.382909748083083867e-01	6.366366366366365881e+00
-5.487433669338586117e-01	-3.411351110158478139e-01	6.426426426426426808e+00
-5.559651869172776983e-01	-3.434640813168825524e-01	6.486486486486486847e+00
-5.616517142804264839e-01	-3.452746704258794486e-01	6.546546546546546885e+00
-5.657287918586760833e-01	-3.465600534465990146e-01	6.606606606606606924e+00
-5.681241788678540461e-01	-3.473104113090240141e-01	6.666666666666666963e+00
-5.687678641057632989e-01	-3.474991906726138113e-01	6.726726726726727001e+00
-5.675944556689070941e-01	-3.463257822357575511e-01	6.786786786786787040e+00
-5.645445573030229980e-01	-3.432758838698734549e-01	6.846846846846847079e+00
-5.595656162085773655e-01	-3.382969427754278779e-01	6.906906906906907118e+00
-5.526146116861267998e-01	-3.313459382529772568e-01	6.966966966966967156e+00
-5.436574454220379771e-01	-3.223887719888885450e-01	7.027027027027027195e+00
-5.326697672872987566e-01	-3.114010938541492135e-01	7.087087087087087234e+00
-5.196370053970968961e-01	-2.983683319639473530e-01	7.147147147147147273e+00
-5.045547448178450134e-01	-2.832860713846954148e-01	7.207207207207207311e+00
-4.874290323756326204e-01	-2.661603589424831329e-01	7.267267267267267350e+00
-4.682765610952165369e-01	-2.470078876620670494e-01	7.327327327327327389e+00
-4.471244707052356437e-01	-2.258557972720862672e-01	7.387387387387387427e+00
-4.240111320732765643e-01	-2.027424586401271600e-01	7.447447447447447466e+00
-3.989857482237392228e-01	-1.777170747905899295e-01	7.507507507507507505e+00
-3.721082508247803844e-01	-1.508395773916309524e-01	7.567567567567567544e+00
-3.434492485783886551e-01	-1.221805751452393340e-01	7.627627627627627582e+00
-3.130901285109577437e-01	-9.182145507780840876e-02	7.687687687687687621e+00
-2.811228107952941091e-01	-5.985413736214477420e-02	7.747747747747747660e+00
-2.476495836242486315e-01	-2.638091019109926882e-02	7.807807807807807698e+00
-2.127828458763726671e-01	8.371706512568343264e-03	7.867867867867867737e+00
-1.766443502856466785e-01	4.250922951976124353e-02	7.927927927927927776e+00
-1.393560323749543362e-01	7.525917499586472215e-02	7.987987987987987815e+00
-1.010437182493869740e-01	1.064778030906911865e-01	8.048048048048048742e+00
-6.183036541631899141e-02	1.360672051888896505e-01	8.108108108108108780e+00
-2.183837324342147168e-02	1.639659175313411821e-01	8.168168168168168819e+00
1.881057332280631350e-02	1.901450224133949540e-01	8.228228228228228858e+00
5.999639962945263472e-02	2.146038051304002547e-01	8.288288288288288896e+00
1.015999095270681968e-01	2.373642249967756745e-01	8.348348348348348935e+00
1.435027282500694057e-01	2.584669341601388282e-01	8.408408408408408974e+00
1.855877526559694402e-01	2.779670983912295168e-01	8.468468468468469013e+00
2.277389078618352325e-01	2.959315842575576117e-01	8.528528528528529051e+00
2.698407869680282678e-01	3.124352274475815650e-01	8.588588588588589090e+00
3.117786748394945628e-01	3.275577929295909740e-01	8.648648648648649129e+00
3.534384189150464040e-01	3.413818192681967179e-01	8.708708708708709167e+00
3.947062142458452327e-01	3.539909963075892896e-01	8.768768768768769206e+00
4.354683865929133701e-01	3.654682753400348982e-01	8.828828828828829245e+00
4.756112217895059890e-01	3.758951160287318238e-01	8.888888888888889284e+00
5.150209841574866498e-01	3.853500518634271899e-01	8.948948948948949322e+00
5.535839959187911496e-01	3.939083426589730652e-01	9.009009009009009361e+00
5.911870559854179863e-01	4.016411659665909406e-01	9.069069069069069400e+00
6.277169153642242483e-01	4.086156016483846742e-01	9.129129129129129439e+00
6.630602259354153594e-01	4.148941520653569026e-01	9.189189189189189477e+00
6.971039612291324294e-01	4.205347298481713070e-01	9.249249249249249516e+00
7.297354686629440312e-01	4.255906919077335204e-01	9.309309309309309555e+00
7.608428029126146352e-01	4.301108664650768465e-01	9.369369369369369593e+00
7.903145291165794006e-01	4.341396511265905311e-01	9.429429429429429632e+00
8.180399587441888887e-01	4.377170801720826621e-01	9.489489489489489671e+00
8.439098711729664526e-01	4.408790954125723083e-01	9.549549549549549710e+00
8.678163573619913640e-01	4.436575941012241842e-01	9.609609609609609748e+00
8.896531073022576619e-01	4.460806204404902942e-01	9.669669669669669787e+00
9.093158510248702253e-01	4.481725198366321994e-01	9.729729729729729826e+00
9.267024839764730348e-01	4.499539871386188938e-01	9.789789789789789864e+00
9.417136164884701843e-01	4.514422612564060189e-01	9.849849849849849903e+00
9.542529096594380977e-01	4.526510959132002965e-01	9.909909909909909942e+00
9.642271248181055743e-01	4.535908141317844811e-01	9.969969969969969981e+00
9.715463126142424022e-01	4.542683716401687000e-01	1.003003003003003002e+01
9.761249326102097168e-01	4.546870503777108996e-01	1.009009009009009006e+01
9.778818124463140027e-01	4.548466535228035679e-01	1.015015015015015010e+01
9.767407579574644005e-01	4.536895285086557372e-01	1.021021021021021014e+01
9.726344697740548773e-01	4.495832403252462139e-01	1.027027027027027017e+01
9.655103104148773374e-01	4.424590809660687851e-01	1.033033033033033021e+01
9.553311656164803489e-01	4.322799361676719077e-01	1.039039039039039025e+01
9.420758867497072142e-01	4.190246573008986064e-01	1.045045045045045029e+01
9.257396307137223390e-01	4.026884012649138977e-01	1.051051051051051033e+01
9.063340530080044033e-01	3.832828235591958510e-01	1.057057057057057037e+01
8.838873999635029621e-01	3.608361705146944098e-01	1.063063063063063041e+01
8.584445901699903070e-01	3.353933607211818102e-01	1.069069069069069045e+01
8.300673230644083356e-01	3.070160936155998943e-01	1.075075075075075048e+01
7.988340473507987705e-01	2.757828179019902737e-01	1.081081081081081052e+01
7.648396759956475055e-01	2.417884465468390087e-01	1.087087087087087056e+01
7.281954422529697268e-01	2.051442128041611190e-01	1.093093093093093060e+01
6.890280239465848000e-01	1.659767944977764698e-01	1.099099099099099064e+01
6.474800735526581308e-01	1.244288441038496895e-01	1.105105105105105068e+01
6.037093520153491433e-01	8.065812256654071588e-02	1.111111111111111072e+01
5.578875116364881981e-01	3.483628218767979845e-02	1.117117117117117076e+01
5.101998395344695680e-01	-1.252429280410844413e-02	1.123123123123123079e+01
4.608426026614252380e-01	-5.782722499564028201e-02	1.129129129129129083e+01
4.100123641249494577e-01	-1.000135023399853773e-01	1.135135135135135087e+01
3.579006901105517557e-01	-1.390148414312653846e-01	1.141141141141141091e+01
3.046939441875898269e-01	-1.748396505532365530e-01	1.147147147147147095e+01
2.505731869667909839e-01	-2.075574612707453970e-01	1.153153153153153099e+01
1.957148379636284852e-01	-2.372836961532550082e-01	1.159159159159159103e+01
1.402901562884314168e-01	-2.641677093021227440e-01	1.165165165165165106e+01
8.446655679783036941e-02	-2.883813379197706639e-01	1.171171171171171110e+01
2.840717663508020296e-02	-3.101099401276644629e-01	1.177177177177177114e+01
-2.772786653665904391e-02	-3.295449152735148157e-01	1.183183183183183118e+01
-8.378169588539022272e-02	-3.468780188936253506e-01	1.189189189189189122e+01
-1.395996648081005709e-01	-3.622968122898292953e-01	1.195195195195195126e+01
-1.950294357389737443e-01	-3.759816165502219976e-01	1.201201201201201130e+01
-2.499202571327993894e-01	-3.881030432699152377e-01	1.207207207207207134e+01
-3.041229747247580217e-01	-3.988208075330086366e-01	1.213213213213213137e+01
-3.574895874237759563e-01	-4.082825977348132906e-01	1.219219219219219141e+01
-4.098731679455923649e-01	-4.166242031856041139e-01	1.225225225225225145e+01
-4.611280694108119693e-01	-4.239692319586963465e-01	1.231231231231231149e+01
-5.111093142471391237e-01	-4.304293321749142476e-01	1.237237237237237153e+01
-5.596728830232483576e-01	-4.361053230867986130e-01	1.243243243243243157e+01
-6.066759702646186136e-01	-4.410872555332057132e-01	1.249249249249249161e+01
-6.519769804060095986e-01	-4.454555095476635529e-01	1.255255255255255165e+01
-6.954357361998534381e-01	-4.492815241872513132e-01	1.261261261261261168e+01
-7.369136419654558345e-01	-4.526276900485722843e-01	1.267267267267267172e+01
-7.762740658072314615e-01	-4.555492622900383926e-01	1.273273273273273176e+01
-8.133824955396810052e-01	-4.580941979038338774e-01	1.279279279279279180e+01
-8.481067158649878701e-01	-4.603050664403306458e-01	1.285285285285285362e+01
-8.803175668627930550e-01	-4.622185902206572550e-01	1.291291291291291365e+01
-9.098888995921108336e-01	-4.638661333080641991e-01	1.297297297297297369e+01
-9.366981991987767264e-01	-4.652748240352184150e-01	1.303303303303303373e+01
-9.606268423127247713e-01	-4.664675449174019994e-01	1.309309309309309377e+01
-9.815604537475720592e-01	-4.674633969197747319e-01	1.315315315315315381e+01
-9.993892629968667007e-01	-4.682778114232497568e-01	1.321321321321321385e+01
-1.014009131025363386e+00	-4.689234629772667251e-01	1.327327327327327389e+01
-1.025320984428583548e+00	-4.694095907867770201e-01	1.333333333333333393e+01
-1.033232220245614341e+00	-4.697428511910186066e-01	1.339339339339339396e+01
-1.037656097389623833e+00	-4.699266790723852782e-01	1.345345345345345400e+01
-1.038512290822802386e+00	-4.698379554769351318e-01	1.351351351351351404e+01
-1.035730086225169266e+00	-4.670557508793021784e-01	1.357357357357357408e+01
-1.029253340954298102e+00	-4.605790056084310136e-01	1.363363363363363412e+01
-1.019046322086982315e+00	-4.503719867411151156e-01	1.369369369369369416e+01
-1.005094425148157944e+00	-4.364200898022907449e-01	1.375375375375375420e+01
-9.874034935726891948e-01	-4.187291582268219403e-01	1.381381381381381424e+01
-9.660013260517039679e-01	-3.973269907058367134e-01	1.387387387387387427e+01
-9.409363209663660355e-01	-3.722619856204988364e-01	1.393393393393393431e+01
