displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.161804033800432067e-06	2.377984274055412660e-05	6.006006006006005954e-02
3.425448337285216241e-05	3.767982655272685954e-04	1.201201201201201191e-01
1.707794676475774811e-04	1.878558744754058128e-03	1.801801801801801717e-01
5.325187726977808136e-04	5.857647671389089837e-03	2.402402402402402382e-01
1.271876966053864851e-03	1.399025247260548416e-02	3.003003003003003046e-01
2.566563372664275311e-03	2.823055524531165733e-02	3.603603603603603434e-01
4.607149838068393816e-03	5.067338204159048398e-02	4.204204204204204376e-01
7.580005394205694032e-03	8.336571358860503378e-02	4.804804804804804763e-01
1.164643770383100123e-02	1.280768765096367001e-01	5.405405405405405705e-01
1.693305793385325997e-02	1.861923835112287984e-01	6.006006006006006093e-01
2.352583937456389357e-02	2.586465297013899045e-01	6.606606606606606480e-01
3.144343994490216010e-02	3.456315376362928959e-01	7.207207207207206867e-01
4.062477167438837550e-02	4.464620255436987373e-01	7.807807807807807254e-01
5.092911094360749041e-02	5.595771040102585081e-01	8.408408408408408752e-01
6.213844455542422152e-02	6.825674395544361062e-01	9.009009009009009139e-01
7.395525044435111162e-02	8.121567971974661404e-01	9.609609609609609526e-01
8.600076670303699600e-02	9.441861461357348162e-01	1.021021021021021102e+00
9.781498898511982454e-02	1.073613636959206863e+00	1.081081081081081141e+00
1.088800505456795353e-01	1.194761501943121473e+00	1.141141141141141180e+00
1.186528551644377705e-01	1.301712948124133185e+00	1.201201201201201219e+00
1.265241312409661201e-01	1.387865486504916479e+00	1.261261261261261257e+00
1.319143991792005866e-01	1.446879050269017197e+00	1.321321321321321296e+00
1.342792618803563820e-01	1.472729883201830070e+00	1.381381381381381335e+00
1.331094246762737909e-01	1.459710739128366130e+00	1.441441441441441373e+00
1.279861188404316508e-01	1.403022028901385276e+00	1.501501501501501412e+00
1.185358421014357094e-01	1.298503786581585606e+00	1.561561561561561451e+00
1.044828913534931597e-01	1.143190935549887044e+00	1.621621621621621712e+00
8.572867512027883274e-02	9.360917059622185787e-01	1.681681681681681750e+00
6.235171355493503154e-02	6.781876347495163770e-01	1.741741741741741789e+00
3.459593713642936108e-02	3.723102080784870260e-01	1.801801801801801828e+00
2.801029627853841852e-03	2.239720276287702344e-02	1.861861861861861867e+00
-3.254986599710399386e-02	-3.660504780858747642e-01	1.921921921921921905e+00
-7.080499287421498922e-02	-7.857234930112907412e-01	1.981981981981981944e+00
-1.111445770453481641e-01	-1.227510659136242133e+00	2.042042042042042205e+00
-1.526044832379962746e-01	-1.680758186497449458e+00	2.102102102102102243e+00
-1.942005556785129650e-01	-2.134683664249173773e+00	2.162162162162162282e+00
-2.348238864685556204e-01	-2.577257060566702229e+00	2.222222222222222321e+00
-2.733513437884609321e-01	-2.996343338747636587e+00	2.282282282282282360e+00
-3.086645938170466397e-01	-3.379905968441225816e+00	2.342342342342342398e+00
-3.396501007316109488e-01	-3.716006925648355441e+00	2.402402402402402437e+00
-3.652559866362950491e-01	-3.993435933862973908e+00	2.462462462462462476e+00
-3.845861452728980279e-01	-4.202740949545906268e+00	2.522522522522522515e+00
-3.966913726638937598e-01	-4.333652028809657608e+00	2.582582582582582553e+00
-4.008441165325075106e-01	-4.377946433720051544e+00	2.642642642642642592e+00
-3.965613571271146554e-01	-4.329697165785440838e+00	2.702702702702702631e+00
-3.836046072212406233e-01	-4.185272965956709612e+00	2.762762762762762669e+00
-3.619728742607911665e-01	-3.943718431205974095e+00	2.822822822822822708e+00
-3.317720802599630203e-01	-3.606858940280642134e+00	2.882882882882882747e+00
-2.932703913059671597e-01	-3.178231113933441154e+00	2.942942942942942786e+00
-2.470183323854152069e-01	-2.664448597101302330e+00	3.003003003003002824e+00
-1.938512433718017625e-01	-2.075266391109334752e+00	3.063063063063062863e+00
-1.348826070611988115e-01	-1.423508317485403740e+00	3.123123123123122902e+00
