displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.281007936569907892e-08	1.281006519056528662e-08	4.004004004004003969e-02
2.050451037313554548e-07	2.050451024773560783e-07	8.008008008008007939e-02
1.035831402621737518e-06	1.035830840371043585e-06	1.201201201201201191e-01
3.266313357840946623e-06	3.266308132859009812e-06	1.601601601601601588e-01
7.953649219158824918e-06	7.953617855343908546e-06	2.002002002002001846e-01
1.644451263937319219e-05	1.644437882491809721e-05	2.402402402402402382e-01
3.036673997557406810e-05	3.036628349290301500e-05	2.802802802802802917e-01
5.161969636523619433e-05	5.161837739405680738e-05	3.203203203203203175e-01
8.236350501471499392e-05	8.236014703358791888e-05	3.603603603603603434e-01
1.250066825157706955e-04	1.249989478398037942e-04	4.004004004004003692e-01
1.821928202385392735e-04	1.821763894642907994e-04	4.404404404404404505e-01
2.567859997199181655e-04	2.567533632779143960e-04	4.804804804804804763e-01
3.518548148636923330e-04	3.517935388549551070e-04	5.205205205205205576e-01
4.706559696369147592e-04	4.705463361805518928e-04	5.605605605605605835e-01
6.166158855664381506e-04	6.164277170103107288e-04	6.006006006006006093e-01
7.933124487659768635e-04	7.930010049764277908e-04	6.406406406406406351e-01
1.004454930470528862e-03	1.003955678173474361e-03	6.806806806806806609e-01
1.253863642259760158e-03	1.253085739211799114e-03	7.207207207207206867e-01
1.545448862202210933e-03	1.544267207013028022e-03	7.607607607607607125e-01
1.883188542635196592e-03	1.881434176019843420e-03	8.008008008008007383e-01
2.271106233520570668e-03	2.268554991421255738e-03	8.408408408408408752e-01
2.713247881238168603e-03	2.709607127080379367e-03	8.808808808808809010e-01
3.213658342842057140e-03	3.208551650702604671e-03	9.209209209209209268e-01
3.776357958843676917e-03	3.769307700245194247e-03	9.609609609609609526e-01
4.405318164213115409e-03	4.395725875687700804e-03	1.001001001001001089e+00
5.104437557664604462e-03	5.091562106685940461e-03	1.041041041041041115e+00
5.877517758631237328e-03	5.860451329005856441e-03	1.081081081081081141e+00
6.728238858740178893e-03	6.705880776694525536e-03	1.121121121121121167e+00
7.660135637928115054e-03	7.631164207486112669e-03	1.161161161161161193e+00
8.676573547958792848e-03	8.639416042313781408e-03	1.201201201201201219e+00
9.780724902948052454e-03	9.733525930062880693e-03	1.241241241241241244e+00
1.097554596776834264e-02	1.091613453104511161e-02	1.281281281281281270e+00
1.226375382801412478e-02	1.218960940224985551e-02	1.321321321321321296e+00
1.364780425631109857e-02	1.355602230332855936e-02	1.361361361361361322e+00
1.512987025603351396e-02	1.501712764196712693e-02	1.401401401401401348e+00
1.671182078580879873e-02	1.657434164079000030e-02	1.441441441441441373e+00
1.839520097308744093e-02	1.822872353839988940e-02	1.481481481481481399e+00
2.018121271221881910e-02	1.998095783352470470e-02	1.521521521521521425e+00
2.207069625156539081e-02	2.183133818447995089e-02	1.561561561561561451e+00
2.406411320197329728e-02	2.377975335603447690e-02	1.601601601601601477e+00
2.616152991358324312e-02	2.582567442726121584e-02	1.641641641641641725e+00
2.836260272592430742e-02	2.796814437923652447e-02	1.681681681681681750e+00
3.066656394426060805e-02	3.020576940186595755e-02	1.721721721721721776e+00
3.307220914603437034e-02	3.253671208750394395e-02	1.761761761761761802e+00
3.557788613064499089e-02	3.495868704498264479e-02	1.801801801801801828e+00
3.818148457785969924e-02	3.746895805775526944e-02	1.841841841841841854e+00
4.088042788625079194e-02	4.006433771594041654e-02	1.881881881881881879e+00
4.367166571200028352e-02	4.274118891316779079e-02	1.921921921921921905e+00
4.655166846449142193e-02	4.549542812914701695e-02	1.961961961961961931e+00
4.951642317892493428e-02	4.832253127828176759e-02	2.002002002002002179e+00
5.256143058191649342e-02	5.121754047372359397e-02	2.042042042042042205e+00
5.568170438343100076e-02	5.417507372860524972e-02	2.082082082082082231e+00
5.887177122549026864e-02	5.718933526994213895e-02	2.122122122122122256e+00
6.212567298965806367e-02	6.025412816468508209e-02	2.162162162162162282e+00
6.543697022223490811e-02	6.336286827795957477e-02	2.202202202202202308e+00
6.879874703391873625e-02	6.650859906407580180e-02	2.242242242242242334e+00
7.220361809115420637e-02	6.968400842015590180e-02	2.282282282282282360e+00
7.564373644792646290e-02	7.288144571248418579e-02	2.322322322322322385e+00
7.911080337416130648e-02	7.609294008978183255e-02	2.362362362362362411e+00
8.259607976403721130e-02	7.931021973907334544e-02	2.402402402402402437e+00
8.609039854582063722e-02	8.252473105871092895e-02	2.442442442442442463e+00
8.958417905683550841e-02	8.572765872656282204e-02	2.482482482482482489e+00
9.306744281719574186e-02	8.890994600161392092e-02	2.522522522522522515e+00
9.652983034707361687e-02	9.206231466490359672e-02	2.562562562562562540e+00
9.996061976714444575e-02	9.517528526412312451e-02	2.602602602602602566e+00
1.033487467877836075e-01	9.823919715855956858e-02	2.642642642642642592e+00
1.066828256366118138e-01	1.012442278270017232e-01	2.682682682682682618e+00
1.099511715858972893e-01	1.041804119722592736e-01	2.722722722722722644e+00
1.131418248379859742e-01	1.070376600781079574e-01	2.762762762762762669e+00
1.162425753154664038e-01	1.098057759842849951e-01	2.802802802802802695e+00
1.192409887454094625e-01	1.124744737749433510e-01	2.842842842842842721e+00
1.221244340310677357e-01	1.150333938897193375e-01	2.882882882882882747e+00
1.248801116443646053e-01	1.174721181867915826e-01	2.922922922922922773e+00
1.274950828899161781e-01	1.197801839173065069e-01	2.962962962962962798e+00
1.299563003676849904e-01	1.219470968307966724e-01	3.003003003003002824e+00
1.322506395065304874e-01	1.239623432351220633e-01	3.043043043043042850e+00
1.343649307695742035e-01	1.258154008771734389e-01	3.083083083083082876e+00
1.362859928157499345e-01	1.274957488685010965e-01	3.123123123123122902e+00
1.380006665747730843e-01	1.289928766770132296e-01	3.163163163163162928e+00
1.394958501870930678e-01	1.302962921396778606e-01	3.203203203203202953e+00
1.407585344126942306e-01	1.313955285092837655e-01	3.243243243243243423e+00
1.417758389081512638e-01	1.322801508096544676e-01	3.283283283283283449e+00
1.425350491976405398e-01	1.329397614953187201e-01	3.323323323323323475e+00
1.430236542450356030e-01	1.333640054862105795e-01	3.363363363363363501e+00
1.432293843704722236e-01	1.335425746957809578e-01	3.403403403403403527e+00
1.431402509636382769e-01	1.334526339274319517e-01	3.443443443443443552e+00
1.427446078432259013e-01	1.330569908070195484e-01	3.483483483483483578e+00
1.420312262497984146e-01	1.323436092135920616e-01	3.523523523523523604e+00
1.409893416196430216e-01	1.313017245834366686e-01	3.563563563563563630e+00
1.396086944134996843e-01	1.299210773772933314e-01	3.603603603603603656e+00
1.378795704990753990e-01	1.281919534628690460e-01	3.643643643643643681e+00
1.357928409564422290e-01	1.261052239202358760e-01	3.683683683683683707e+00
1.333400012713132354e-01	1.236523842351068825e-01	3.723723723723723733e+00
1.305132096535599751e-01	1.208255926173536360e-01	3.763763763763763759e+00
1.273053243744408369e-01	1.176177073382344840e-01	3.803803803803803785e+00
1.237099401163083978e-01	1.140223230801020449e-01	3.843843843843843811e+00
1.197214232447430943e-01	1.100338062085367413e-01	3.883883883883883836e+00
1.153349457953624646e-01	1.056473287591561255e-01	3.923923923923923862e+00
1.105465180295676225e-01	1.008589009933612834e-01	3.963963963963963888e+00
1.053530195550846510e-01	9.566540251887831192e-02	4.004004004004004358e+00
9.975222897266046440e-02	9.006461193645412533e-02	4.044044044044044384e+00
9.374285178784404204e-02	8.405523475163770297e-02	4.084084084084084409e+00
