displacement 	force 	time
-0.000000000000000000e+00	1.572821012215563918e-03	0.000000000000000000e+00
0.000000000000000000e+00	1.572821012215563918e-03	0.000000000000000000e+00
1.000000000000000056e-01	9.574052433410140672e-03	0.000000000000000000e+00
2.000000000000000111e-01	1.746580519728968550e-02	0.000000000000000000e+00
2.999999999999999889e-01	2.523878420314140669e-02	0.000000000000000000e+00
4.000000000000000222e-01	3.409387587656353968e-02	0.000000000000000000e+00
5.000000000000000000e-01	4.656275481446636721e-02	0.000000000000000000e+00
5.999999999999999778e-01	5.529410771536225067e-02	0.000000000000000000e+00
6.999999999999999556e-01	6.370140399550494603e-02	0.000000000000000000e+00
8.000000000000000444e-01	7.318819753469540945e-02	0.000000000000000000e+00
9.000000000000000222e-01	8.241066696715448892e-02	0.000000000000000000e+00
1.000000000000000000e+00	9.143137396346134871e-02	0.000000000000000000e+00
1.100000000000000089e+00	1.013006931097082397e-01	0.000000000000000000e+00
1.199999999999999956e+00	1.157417796684013789e-01	0.000000000000000000e+00
1.300000000000000044e+00	1.257954748231598918e-01	0.000000000000000000e+00
1.399999999999999911e+00	1.362344970059270466e-01	0.000000000000000000e+00
1.500000000000000000e+00	1.466147245852490455e-01	0.000000000000000000e+00
1.600000000000000089e+00	1.570227991962167557e-01	0.000000000000000000e+00
1.699999999999999956e+00	1.676590865358258409e-01	0.000000000000000000e+00
1.800000000000000044e+00	1.775582397989511341e-01	0.000000000000000000e+00
1.899999999999999911e+00	1.944745871512529867e-01	0.000000000000000000e+00
2.000000000000000000e+00	2.059145543544480539e-01	0.000000000000000000e+00
2.100000000000000089e+00	2.177081055274411314e-01	0.000000000000000000e+00
2.200000000000000178e+00	2.291420966191928255e-01	0.000000000000000000e+00
2.299999999999999822e+00	2.405234079147263726e-01	0.000000000000000000e+00
2.399999999999999911e+00	2.522137449926766806e-01	0.000000000000000000e+00
2.500000000000000000e+00	2.642753292317033820e-01	0.000000000000000000e+00
2.600000000000000089e+00	2.764811348875682029e-01	0.000000000000000000e+00
2.700000000000000178e+00	2.956656928275739338e-01	0.000000000000000000e+00
2.799999999999999822e+00	3.080405556206620155e-01	0.000000000000000000e+00
2.899999999999999911e+00	3.214232918862470756e-01	0.000000000000000000e+00
3.000000000000000000e+00	3.353686006304057443e-01	0.000000000000000000e+00
3.100000000000000089e+00	3.482513083594395153e-01	0.000000000000000000e+00
3.200000000000000178e+00	3.625537738045406244e-01	0.000000000000000000e+00
3.299999999999999822e+00	3.759817194767456905e-01	0.000000000000000000e+00
3.399999999999999911e+00	3.965169148275654587e-01	0.000000000000000000e+00
3.500000000000000000e+00	4.101284149772622678e-01	0.000000000000000000e+00
3.600000000000000089e+00	4.244091606470656308e-01	0.000000000000000000e+00
3.700000000000000178e+00	4.381911827149877481e-01	0.000000000000000000e+00
3.799999999999999822e+00	4.536155268538849539e-01	0.000000000000000000e+00
3.899999999999999911e+00	4.686251805083938571e-01	0.000000000000000000e+00
4.000000000000000000e+00	4.829750700055810975e-01	0.000000000000000000e+00
4.099999999999999645e+00	4.973599488175911576e-01	0.000000000000000000e+00
4.200000000000000178e+00	5.213866751687405987e-01	0.000000000000000000e+00
4.299999999999999822e+00	5.368967673245799155e-01	0.000000000000000000e+00
4.400000000000000355e+00	5.528593855896524190e-01	0.000000000000000000e+00
4.500000000000000000e+00	5.692135744511934714e-01	0.000000000000000000e+00
4.599999999999999645e+00	5.847920185427957218e-01	0.000000000000000000e+00
4.700000000000000178e+00	6.009076541866547050e-01	0.000000000000000000e+00
4.799999999999999822e+00	6.178265406231105983e-01	0.000000000000000000e+00
4.900000000000000355e+00	6.442073743579572742e-01	0.000000000000000000e+00
5.000000000000000000e+00	6.608814585438276268e-01	0.000000000000000000e+00
5.099999999999999645e+00	6.782367953573464892e-01	0.000000000000000000e+00
5.200000000000000178e+00	6.963548159676758997e-01	0.000000000000000000e+00
5.299999999999999822e+00	7.135380702717889490e-01	0.000000000000000000e+00
5.400000000000000355e+00	7.311878525755706182e-01	0.000000000000000000e+00
5.500000000000000000e+00	7.494086115785631996e-01	0.000000000000000000e+00
5.599999999999999645e+00	7.767098990230235644e-01	0.000000000000000000e+00
5.700000000000000178e+00	7.943756037388749469e-01	0.000000000000000000e+00
5.799999999999999822e+00	8.117827511329844814e-01	0.000000000000000000e+00
5.900000000000000355e+00	8.298973034656124126e-01	0.000000000000000000e+00
6.000000000000000000e+00	8.487743821770467045e-01	0.000000000000000000e+00
6.099999999999999645e+00	8.675749255076905531e-01	0.000000000000000000e+00
6.200000000000000178e+00	8.874960981249028213e-01	0.000000000000000000e+00
6.299999999999999822e+00	9.070297382623001559e-01	0.000000000000000000e+00
6.400000000000000355e+00	9.375996022243838768e-01	0.000000000000000000e+00
6.500000000000000000e+00	9.574255279541187269e-01	0.000000000000000000e+00
6.599999999999999645e+00	9.778476915211975484e-01	0.000000000000000000e+00
6.700000000000000178e+00	9.987107552702236823e-01	0.000000000000000000e+00
6.799999999999999822e+00	1.019230592915536304e+00	0.000000000000000000e+00
6.900000000000000355e+00	1.039500036121131288e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.060456570615354588e+00	0.000000000000000000e+00
7.099999999999999645e+00	1.090775899266623217e+00	0.000000000000000000e+00
7.200000000000000178e+00	1.111157130880423338e+00	0.000000000000000000e+00
7.299999999999999822e+00	1.133237041058050565e+00	0.000000000000000000e+00
7.400000000000000355e+00	1.153982549401737501e+00	0.000000000000000000e+00
7.500000000000000000e+00	1.176153250351060775e+00	0.000000000000000000e+00
7.599999999999999645e+00	1.197335314340599144e+00	0.000000000000000000e+00
7.700000000000000178e+00	1.220439930534788608e+00	0.000000000000000000e+00
7.799999999999999822e+00	1.254515937631665246e+00	0.000000000000000000e+00
7.900000000000000355e+00	1.277709486448902476e+00	0.000000000000000000e+00
8.000000000000000000e+00	1.301002581781871559e+00	0.000000000000000000e+00
8.099999999999999645e+00	1.323422290883168984e+00	0.000000000000000000e+00
8.199999999999999289e+00	1.346630301662360418e+00	0.000000000000000000e+00
8.300000000000000711e+00	1.369288615486933702e+00	0.000000000000000000e+00
8.400000000000000355e+00	1.393101448341142801e+00	0.000000000000000000e+00
8.500000000000000000e+00	1.416636115046103761e+00	0.000000000000000000e+00
8.599999999999999645e+00	1.451435765816487589e+00	0.000000000000000000e+00
8.699999999999999289e+00	1.475817680922527630e+00	0.000000000000000000e+00
8.800000000000000711e+00	1.500768333717243053e+00	0.000000000000000000e+00
8.900000000000000355e+00	1.524622556799839490e+00	0.000000000000000000e+00
9.000000000000000000e+00	1.549355123327260664e+00	0.000000000000000000e+00
8.900000000000000355e+00	1.549168085764876412e+00	0.000000000000000000e+00
8.800000000000000711e+00	1.548797748726469248e+00	0.000000000000000000e+00
8.699999999999999289e+00	1.548236166243786904e+00	0.000000000000000000e+00
8.599999999999999645e+00	1.547658270390440460e+00	0.000000000000000000e+00
8.500000000000000000e+00	1.546347861797014334e+00	0.000000000000000000e+00
8.400000000000000355e+00	1.545302057768236370e+00	0.000000000000000000e+00
8.300000000000000711e+00	1.544161016296175415e+00	0.000000000000000000e+00
8.199999999999999289e+00	1.542694798642342935e+00	0.000000000000000000e+00
8.099999999999999645e+00	1.540999189601836239e+00	0.000000000000000000e+00
8.000000000000000000e+00	1.539456870812459854e+00	0.000000000000000000e+00
7.900000000000000355e+00	1.537536548520208157e+00	0.000000000000000000e+00
7.799999999999999822e+00	1.535385865995587462e+00	0.000000000000000000e+00
7.700000000000000178e+00	1.531741279490206331e+00	0.000000000000000000e+00
7.599999999999999645e+00	1.528772928531164643e+00	0.000000000000000000e+00
7.500000000000000000e+00	1.525850088137124860e+00	0.000000000000000000e+00
7.400000000000000355e+00	1.522886059700542027e+00	0.000000000000000000e+00
7.299999999999999822e+00	1.519520783195251301e+00	0.000000000000000000e+00
7.200000000000000178e+00	1.516448572240464809e+00	0.000000000000000000e+00
7.099999999999999645e+00	1.513460591516544218e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.507992319186277186e+00	0.000000000000000000e+00
6.900000000000000355e+00	1.504080202180649861e+00	0.000000000000000000e+00
6.799999999999999822e+00	1.500274783135954415e+00	0.000000000000000000e+00
