displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.557292983681335640e-07	2.557292507556004060e-07	6.006006006006005954e-02
1.652574893877448996e-06	1.652573314463225628e-06	1.201201201201201191e-01
6.491509686229685905e-06	6.491485756234036070e-06	1.801801801801801717e-01
1.856575962957032863e-05	1.856557540031383786e-05	2.402402402402402382e-01
4.299589117506011577e-05	4.299493732956737908e-05	3.003003003003003046e-01
8.633805149015374677e-05	8.633427492707992565e-05	3.603603603603603434e-01
1.566283965937335400e-04	1.566160874142245060e-04	4.204204204204204376e-01
2.629051080315246078e-04	2.628704600960026470e-04	4.804804804804804763e-01
4.154655487035801382e-04	4.153779625991561235e-04	5.405405405405405705e-01
6.252584600404835274e-04	6.250606113012141659e-04	6.006006006006006093e-01
9.042375337859115316e-04	9.038260737770332457e-04	6.606606606606606480e-01
1.265034904056057613e-03	1.264231585249779837e-03	7.207207207207206867e-01
1.720708820726547534e-03	1.719225590619099858e-03	7.807807807807807254e-01
2.284684308770639199e-03	2.282077597566493227e-03	8.408408408408408752e-01
2.970630462407150476e-03	2.966232446224979780e-03	9.009009009009009139e-01
3.792134467503058791e-03	3.784975778058660787e-03	9.609609609609609526e-01
4.762624352005685041e-03	4.751351055074619356e-03	1.021021021021021102e+00
5.895162586701916015e-03	5.877914407324685842e-03	1.081081081081081141e+00
7.202219397305524573e-03	7.176498854104630676e-03	1.141141141141141180e+00
8.695671703293699623e-03	8.658233179278478769e-03	1.201201201201201219e+00
1.038633558509328286e-02	1.033298884712769913e-02	1.261261261261261257e+00
1.228404785078862464e-02	1.220950547088361406e-02	1.321321321321321296e+00
1.439722954304829133e-02	1.429493310170828514e-02	1.381381381381381335e+00
1.673298048523044410e-02	1.659491760586857476e-02	1.441441441441441373e+00
1.929670388524185043e-02	1.911325028097018985e-02	1.501501501501501412e+00
2.209222701981223072e-02	2.185197979362336548e-02	1.561561561561561451e+00
2.512131655558147089e-02	2.481095693404395189e-02	1.621621621621621712e+00
2.838393146885850177e-02	2.798809510898416647e-02	1.681681681681681750e+00
3.187773241151713871e-02	3.137895446533300187e-02	1.741741741741741789e+00
3.559835925572558263e-02	3.497700174123544170e-02	1.801801801801801828e+00
3.953903701912633850e-02	3.877336537564193830e-02	1.861861861861861867e+00
4.369071906589647170e-02	4.275688563280663490e-02	1.921921921921921905e+00
4.804198151049090398e-02	4.691418922817273962e-02	1.981981981981981944e+00
5.257894642348238251e-02	5.122972800041165203e-02	2.042042042042042205e+00
5.728498383841085922e-02	5.568544598177233712e-02	2.102102102102102243e+00
6.214113982781047790e-02	6.026134724906940382e-02	2.162162162162162282e+00
6.712610027307458482e-02	6.493553559219142346e-02	2.222222222222222321e+00
7.221608975785004381e-02	6.968417148539425565e-02	2.282282282282282360e+00
7.738522401474118295e-02	7.448188987439080533e-02	2.342342342342342398e+00
8.260527269586628862e-02	7.930165501712801990e-02	2.402402402402402437e+00
8.784554110726873477e-02	8.411472566438177312e-02	2.462462462462462476e+00
9.307326956266637197e-02	8.889106639110266883e-02	2.522522522522522515e+00
9.825377637798288211e-02	9.359952606441467038e-02	2.582582582582582553e+00
1.033505757420610238e-01	9.820797193978396400e-02	2.642642642642642592e+00
1.083255744278921462e-01	1.026834986956051826e-01	2.702702702702702631e+00
1.131391357731388603e-01	1.069924480353957319e-01	2.762762762762762669e+00
1.177502667218067178e-01	1.111005878612380260e-01	2.822822822822822708e+00
1.221169046268879982e-01	1.149732792266092846e-01	2.882882882882882747e+00
1.261960653195259574e-01	1.185755712069963136e-01	2.942942942942942786e+00
1.299440795334531329e-01	1.218722463583702398e-01	3.003003003003002824e+00
1.333167405613217837e-01	1.248280492585128049e-01	3.063063063063062863e+00
1.362695752788853076e-01	1.274077143969716830e-01	3.123123123123122902e+00
1.387582739994448477e-01	1.295758188333420435e-01	3.183183183183182940e+00
1.407386810926012644e-01	1.312971463759894097e-01	3.243243243243243423e+00
1.421671522578340230e-01	1.325366742014310595e-01	3.303303303303303462e+00
1.430011238884497382e-01	1.332594548499633491e-01	3.363363363363363501e+00
1.431989510660907350e-01	1.334288215067304384e-01	3.423423423423423539e+00
1.427201764473726153e-01	1.329510747291260675e-01	3.483483483483483578e+00
1.415268501178049976e-01	1.317599970490174743e-01	3.543543543543543617e+00
1.395840554699100400e-01	1.298207862818928637e-01	3.603603603603603656e+00
1.368573453282673769e-01	1.270989447604741196e-01	3.663663663663663694e+00
1.333167785925138960e-01	1.235644255539805753e-01	3.723723723723723733e+00
1.289355624977407688e-01	1.191902725654142153e-01	3.783783783783783772e+00
1.236899672410150253e-01	1.139525497335912158e-01	3.843843843843843811e+00
1.175603067614916647e-01	1.078313165078623181e-01	3.903903903903903849e+00
1.105310395349311664e-01	1.008107433869538661e-01	3.963963963963963888e+00
1.025908632518580249e-01	9.287922293145566000e-02	4.024024024024024371e+00
9.373285276542071831e-02	8.402953317772059172e-02	4.084084084084084409e+00
