displacement 	force 	time
0.000000000000000000e+00	1.000000000000000021e-03	0.000000000000000000e+00
0.000000000000000000e+00	2.000000000000000042e-03	5.393097928967233992e-04
0.000000000000000000e+00	3.000000000000000062e-03	1.091408468884830577e-03
0.000000000000000000e+00	4.000000000000000083e-03	1.643478848191858412e-03
0.000000000000000000e+00	5.000000000000000104e-03	2.195520912854817194e-03
0.000000000000000000e+00	6.000000000000000125e-03	2.747534644937842108e-03
0.000000000000000000e+00	7.000000000000000146e-03	3.299520026532358138e-03
0.000000000000000000e+00	8.000000000000000167e-03	3.849524869611434513e-03
0.000000000000000000e+00	9.000000000000001055e-03	4.401449950966216350e-03
0.000000000000000000e+00	9.999999999999998473e-03	4.953346626028448663e-03
0.000000000000000000e+00	1.099999999999999936e-02	5.505214877001537825e-03
0.000000000000000000e+00	1.200000000000000025e-02	6.057054686116159631e-03
0.000000000000000000e+00	1.300000000000000114e-02	6.608866035630070641e-03
0.000000000000000000e+00	1.399999999999999856e-02	7.160648907828237424e-03
0.000000000000000000e+00	1.499999999999999944e-02	7.712403285022813131e-03
0.000000000000000000e+00	1.600000000000000033e-02	8.262148114634547055e-03
0.000000000000000000e+00	1.700000000000000122e-02	8.813841885096257781e-03
0.000000000000000000e+00	1.800000000000000211e-02	9.365507105439129995e-03
0.000000000000000000e+00	1.900000000000000300e-02	9.917143758087247282e-03
0.000000000000000000e+00	2.000000000000000389e-02	1.046875182549183818e-02
0.000000000000000000e+00	2.100000000000000130e-02	1.102033129013128138e-02
0.000000000000000000e+00	2.199999999999999872e-02	1.157188213451110746e-02
0.000000000000000000e+00	2.300000000000000308e-02	1.212340434116402146e-02
0.000000000000000000e+00	2.400000000000000050e-02	1.267288784635210198e-02
0.000000000000000000e+00	2.500000000000000139e-02	1.322434914357824287e-02
0.000000000000000000e+00	2.600000000000000228e-02	1.377578174865027975e-02
0.000000000000000000e+00	2.699999999999999969e-02	1.432718564421265814e-02
0.000000000000000000e+00	2.800000000000000058e-02	1.487856081293702226e-02
0.000000000000000000e+00	2.900000000000000147e-02	1.542990723752206070e-02
0.000000000000000000e+00	3.000000000000000236e-02	1.598122490069359830e-02
0.000000000000000000e+00	3.099999999999999978e-02	1.653251378520461182e-02
0.000000000000000000e+00	3.200000000000000067e-02	1.708377387383517437e-02
0.000000000000000000e+00	3.300000000000000155e-02	1.763296234923312708e-02
0.000000000000000000e+00	3.400000000000000244e-02	1.818416119301753328e-02
0.000000000000000000e+00	3.500000000000000333e-02	1.873533118726604038e-02
0.000000000000000000e+00	3.600000000000000422e-02	1.928647231487037872e-02
0.000000000000000000e+00	3.699999999999999817e-02	1.983758455874931603e-02
0.000000000000000000e+00	3.800000000000000600e-02	2.038866790184876501e-02
0.000000000000000000e+00	3.900000000000000688e-02	2.093972232714162371e-02
0.000000000000000000e+00	4.000000000000000083e-02	2.149074781762786920e-02
0.000000000000000000e+00	4.100000000000000172e-02	2.203967223936872596e-02
0.000000000000000000e+00	4.200000000000000261e-02	2.259063619036644557e-02
0.000000000000000000e+00	4.299999999999999656e-02	2.314157115358832575e-02
0.000000000000000000e+00	4.400000000000000439e-02	2.369247711214595917e-02
0.000000000000000000e+00	4.500000000000000527e-02	2.424335404917780587e-02
0.000000000000000000e+00	4.599999999999999922e-02	2.479420194784943618e-02
0.000000000000000000e+00	4.700000000000000705e-02	2.534502079135351332e-02
0.000000000000000000e+00	4.800000000000000100e-02	2.589581056290960956e-02
0.000000000000000000e+00	4.900000000000000189e-02	2.644446967086663131e-02
0.000000000000000000e+00	5.000000000000000278e-02	2.699519761207592669e-02
0.000000000000000000e+00	5.100000000000000366e-02	2.754589642905319949e-02
0.000000000000000000e+00	5.199999999999999761e-02	2.809656610512942243e-02
0.000000000000000000e+00	5.299999999999999850e-02	2.864720662366252585e-02
0.000000000000000000e+00	5.400000000000000633e-02	2.919781796803739768e-02
0.000000000000000000e+00	5.500000000000000028e-02	2.974840012166603959e-02
0.000000000000000000e+00	5.600000000000000117e-02	3.029682554522373714e-02
0.000000000000000000e+00	5.700000000000000205e-02	3.084734561654915719e-02
0.000000000000000000e+00	5.799999999999999600e-02	3.139783644544407587e-02
0.000000000000000000e+00	5.900000000000000383e-02	3.194829801543162817e-02
0.000000000000000000e+00	6.000000000000000472e-02	3.249873031006188240e-02
0.000000000000000000e+00	6.099999999999999867e-02	3.304913331291176731e-02
0.000000000000000000e+00	6.199999999999999956e-02	3.359950700758520398e-02
0.000000000000000000e+00	6.300000000000000044e-02	3.414985137771308493e-02
0.000000000000000000e+00	6.400000000000000133e-02	3.469800916609348113e-02
0.000000000000000000e+00	6.500000000000000222e-02	3.524829117014575269e-02
0.000000000000000000e+00	6.600000000000000311e-02	3.579854379865127223e-02
0.000000000000000000e+00	6.699999999999999012e-02	3.634876703535180886e-02
0.000000000000000000e+00	6.800000000000000488e-02	3.689896086401613789e-02
0.000000000000000000e+00	6.900000000000000577e-02	3.744912526843982570e-02
0.000000000000000000e+00	6.999999999999999278e-02	3.799926023244543094e-02
0.000000000000000000e+00	7.100000000000000755e-02	3.854936573988232418e-02
0.000000000000000000e+00	7.200000000000000844e-02	3.909725467957263917e-02
0.000000000000000000e+00	7.299999999999999545e-02	3.964729754092723851e-02
0.000000000000000000e+00	7.400000000000001021e-02	4.019731089539364810e-02
0.000000000000000000e+00	7.499999999999999722e-02	4.074729472693196936e-02
0.000000000000000000e+00	7.600000000000001199e-02	4.129724901952919885e-02
0.000000000000000000e+00	7.700000000000001288e-02	4.184717375719912424e-02
0.000000000000000000e+00	7.799999999999999989e-02	4.239706892398244914e-02
0.000000000000000000e+00	7.900000000000000078e-02	4.294472111764777167e-02
0.000000000000000000e+00	8.000000000000000167e-02	4.349455339589139435e-02
0.000000000000000000e+00	8.100000000000000255e-02	4.404435605352551714e-02
0.000000000000000000e+00	8.200000000000000344e-02	4.459412907470126919e-02
0.000000000000000000e+00	8.300000000000000433e-02	4.514387244359673035e-02
0.000000000000000000e+00	8.400000000000000522e-02	4.569358614441663968e-02
0.000000000000000000e+00	8.499999999999999223e-02	4.624327016139256896e-02
0.000000000000000000e+00	8.600000000000000699e-02	4.679292447878288796e-02
