Time [s]	Force [kN]	Displacement [m]
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.956028744632249325e-10	3.977995430151914434e-10	2.002002002002001985e-02
1.281190237191846510e-08	6.405944097226666863e-09	4.004004004004003969e-02
6.492895505228990559e-08	3.246447615420347128e-08	6.006006006006005954e-02
2.050631465080630820e-07	1.025315726265064673e-07	8.008008008008007939e-02
5.001430986485846077e-07	2.500714927482335695e-07	1.001001001001000923e-01
1.036079762734922824e-06	5.180395931706035574e-07	1.201201201201201191e-01
1.917509637605210099e-06	9.587538444832103795e-07	1.401401401401401459e-01
3.267710086762481719e-06	1.633852424559942076e-06	1.601601601601601588e-01
5.228256013878057205e-06	2.614121321944105291e-06	1.801801801801801717e-01
7.958969972623379266e-06	3.979469307811097911e-06	2.002002002002001846e-01
1.163775911773555200e-05	5.818845804033323773e-06	2.202202202202202252e-01
1.646031962707230180e-05	8.230092567782472117e-06	2.402402402402402382e-01
2.263982393803554391e-05	1.131978531329339443e-05	2.602602602602602788e-01
3.040657382779794781e-05	1.520305826269290829e-05	2.802802802802802917e-01
4.000797646737786048e-05	2.000359196754828822e-05	3.003003003003003046e-01
5.170811201517980617e-05	2.585339378064843377e-05	3.203203203203203175e-01
6.578744505993566792e-05	3.289265142504386069e-05	3.403403403403403304e-01
8.254227932271222779e-05	4.126945378030741178e-05	3.603603603603603434e-01
1.022846280132337545e-04	5.113972465498799956e-05	3.803803803803803563e-01
1.253418743271102827e-04	6.266704824797222873e-05	4.004004004004003692e-01
1.520563292222318558e-04	7.602244236357075322e-05	4.204204204204204376e-01
1.827846512447518822e-04	9.138405754248431830e-05	4.404404404404404505e-01
2.178976086697238530e-04	1.089370539376994580e-04	4.604604604604604634e-01
2.577797169345656149e-04	1.288734124616785516e-04	4.804804804804804763e-01
3.028287283987929910e-04	1.513916694776570285e-04	5.005005005005005447e-01
3.534549749956784935e-04	1.766965713296479289e-04	5.205205205205205576e-01
4.100811250136966800e-04	2.049989466232327267e-04	5.405405405405405705e-01
4.731417090070452964e-04	2.365154560060751256e-04	5.605605605605605835e-01
5.430825563354204017e-04	2.714682944327492559e-04	5.805805805805805964e-01
6.203600910122038800e-04	3.100848159066187104e-04	6.006006006006006093e-01
7.054411142868138558e-04	3.525974174472601484e-04	6.206206206206206222e-01
7.988021817351625498e-04	3.992432059522247017e-04	6.406406406406406351e-01
9.009289552531322964e-04	4.502636496422530868e-04	6.606606606606606480e-01
1.012315583756743208e-03	5.059042435290679509e-04	6.806806806806806609e-01
1.133464399332677428e-03	5.664143445624938815e-04	7.007007007007006738e-01
1.264885202089434477e-03	6.320467839559732034e-04	7.207207207207206867e-01
1.407094499235852754e-03	7.030574511156153367e-04	7.407407407407406996e-01
1.560615091238855019e-03	7.797050672105951654e-04	7.607607607607607125e-01
1.725975517732010293e-03	8.622508808092154472e-04	7.807807807807807254e-01
1.903709331865179608e-03	9.509582685678411550e-04	8.008008008008007383e-01
2.094354318929815377e-03	1.046092302646818616e-03	8.208208208208208623e-01
2.298452190411602591e-03	1.147919580965757773e-03	8.408408408408408752e-01
2.516547812199153474e-03	1.256707798825682171e-03	8.608608608608608881e-01
2.749188398513180420e-03	1.372725299041420302e-03	8.808808808808809010e-01
2.996922988316541841e-03	1.496240779311376091e-03	9.009009009009009139e-01
3.260301895687784529e-03	1.627522984315498203e-03	9.209209209209209268e-01
3.539875926295495655e-03	1.766840266530092041e-03	9.409409409409409397e-01
3.836195538255010584e-03	1.914460113948009221e-03	9.609609609609609526e-01
4.149810507044728557e-03	2.070648961351306740e-03	9.809809809809809655e-01
4.481269118674587049e-03	2.235671735841061099e-03	1.001001001001001089e+00
4.831117325360081982e-03	2.409791380284775561e-03	1.021021021021021102e+00
5.199898202814921648e-03	2.593268546754231869e-03	1.041041041041041115e+00
5.588151370425259445e-03	2.786361269086609985e-03	1.061061061061061128e+00
5.996412176645347231e-03	2.989324503081556249e-03	1.081081081081081141e+00
6.425210857200888172e-03	3.202409651251307901e-03	1.101101101101101154e+00
6.875072186237213452e-03	3.425864366129602583e-03	1.121121121121121167e+00
7.346514646402240931e-03	3.659932082622068764e-03	1.141141141141141180e+00
7.840049575853975591e-03	3.904851538986210679e-03	1.161161161161161193e+00
