displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.279784370964920805e-07	4.279784259042237142e-07	4.004004004004003969e-02
6.838657878059656681e-06	6.838633879529862964e-06	8.008008008008007939e-02
3.456543258632084137e-05	3.456483828590331542e-05	1.201201201201201191e-01
1.090341241821414037e-04	1.090282378393032248e-04	1.601601601601601588e-01
2.656000876320269654e-04	2.655651710492800961e-04	2.002002002002001846e-01
5.493375486436930877e-04	5.491881982391109323e-04	2.402402402402402382e-01
1.014781949165357395e-03	1.014272377015547561e-03	2.802802802802802917e-01
1.725626504430706910e-03	1.724153339475463335e-03	3.203203203203203175e-01
2.754374198828516123e-03	2.750622269652458225e-03	3.603603603603603434e-01
4.181946693583234870e-03	4.173301824327832477e-03	4.004004004004003692e-01
6.097251897384901344e-03	6.078886859338009097e-03	4.404404404404404505e-01
8.596712243590095420e-03	8.560234632216535966e-03	4.804804804804804763e-01
1.178375602522512347e-02	1.171529106782252805e-02	5.205205205205205576e-01
1.576827446066320776e-02	1.564584278866751332e-02	5.605605605605605835e-01
2.066604749543144576e-02	2.045608898313247201e-02	6.006006006006006093e-01
2.659814161220366499e-02	2.625103259808792347e-02	6.406406406406406351e-01
3.369028344046074569e-02	3.313469770738119990e-02	6.806806806806806609e-01
4.207221308447609692e-02	4.120818738010039589e-02	7.207207207207206867e-01
5.187702147860079327e-02	5.056760537153087709e-02	7.607607607607607125e-01
6.324047646714037185e-02	6.130187482655358872e-02	8.008008008008007383e-01
7.630034229149233738e-02	7.349049601592651249e-02	8.408408408408408752e-01
9.119569727298064421e-02	8.720129414120761369e-02	8.808808808808809010e-01
1.080662548312520121e-01	1.024882175193976702e-01	9.209209209209209268e-01
1.270516925254762119e-01	1.193892519483219228e-01	9.609609609609609526e-01
1.482909940023010853e-01	1.379245226575795125e-01	1.001001001001001089e+00
1.719218083151120846e-01	1.580946566643751938e-01	1.041041041041041115e+00
1.980798305770183343e-01	1.798794767811005835e-01	1.081081081081081141e+00
2.268982074192733289e-01	2.032370941082753679e-01	1.121121121121121167e+00
2.585069704009670399e-01	2.281034577460199497e-01	1.161161161161161193e+00
2.930324993344332052e-01	2.543924080617007699e-01	1.201201201201201219e+00
3.305970171500129395e-01	2.819962648657131088e-01	1.241241241241241244e+00
3.713181167982386177e-01	3.107869637429342968e-01	1.281281281281281270e+00
4.153083198988423708e-01	3.406177341664659575e-01	1.321321321321321296e+00
4.626746660214900997e-01	3.713252921752650537e-01	1.361361361361361322e+00
5.135183306763422273e-01	4.027324995571537891e-01	1.401401401401401348e+00
5.679342693573250500e-01	4.346514218581609690e-01	1.441441441441441373e+00
6.260108843525167277e-01	4.668867002856393333e-01	1.481481481481481399e+00
6.878297105477173545e-01	4.992391386216236127e-01	1.521521521521521425e+00
7.534651161215587534e-01	5.315093963733876770e-01	1.561561561561561451e+00
8.229840138666854044e-01	5.635016742863858674e-01	1.601601601601601477e+00
8.964455788845977491e-01	5.950272783336196802e-01	1.641641641641641725e+00
9.739009686053204939e-01	6.259079531995951351e-01	1.681681681681681750e+00
1.055393041426021083e+00	6.559788862688236133e-01	1.721721721721721776e+00
1.140956070871588679e+00	6.850912964199747934e-01	1.761761761761761802e+00
1.230615452597955128e+00	7.131145410790342698e-01	1.801801801801801828e+00
1.324387402572515304e+00	7.399376931472678720e-01	1.841841841841841854e+00
1.422278645553800347e+00	7.654705617084327507e-01	1.881881881881881879e+00
1.524286093579611645e+00	7.896441521791787155e-01	1.921921921921921905e+00
1.630396515188241358e+00	8.124105836518450419e-01	1.961961961961961931e+00
1.740586197322957052e+00	8.337424961189245920e-01	2.002002002002002179e+00
1.854820601610102759e+00	8.536320035241115045e-01	2.042042042042042205e+00
1.973054018700739043e+00	8.720892540503784041e-01	2.082082082082082231e+00
2.095229223569239352e+00	8.891406762881368664e-01	2.122122122122122256e+00
2.221277136298956734e+00	9.048269874755219266e-01	2.162162162162162282e+00
2.351116492271263070e+00	9.192010495572884299e-01	2.202202202202202308e+00
2.484653526329553053e+00	9.323256499192645874e-01	2.242242242242242334e+00
2.621781675525840516e+00	9.442712821480641061e-01	2.282282282282282360e+00
2.762381304618158229e+00	9.551139945779553164e-01	2.322322322322322385e+00
2.906319458691267510e+00	9.649333610954935470e-01	2.362362362362362411e+00
3.053449646843364729e+00	9.738106204791773246e-01	2.402402402402402437e+00
3.203611660352660984e+00	9.818270187491828782e-01	2.442442442442442463e+00
3.356631428612358192e+00	9.890623744795054018e-01	2.482482482482482489e+00
3.512320915547707756e+00	9.955938784861846358e-01	2.522522522522522515e+00
3.670478058605994853e+00	1.001495129858121391e+00	2.562562562562562540e+00
3.830886752293757969e+00	1.006835398130003556e+00	2.602602602602602566e+00
3.993316877452838476e+00	1.011679098755048134e+00	2.642642642642642592e+00
4.157524377178059005e+00	1.016085461997389139e+00	2.682682682682682618e+00
4.323251379998199972e+00	1.020108370039729095e+00	2.722722722722722644e+00
4.490226370236533704e+00	1.023796340663766236e+00	2.762762762762762669e+00
4.658164405653883122e+00	1.027192627598562780e+00	2.802802802802802695e+00
4.826767381648092936e+00	1.030335417181701629e+00	2.842842842842842721e+00
4.995724341490846321e+00	1.033258093745784922e+00	2.882882882882882747e+00
5.164711831762210714e+00	1.035989555942660623e+00	2.922922922922922773e+00
5.333394301622306877e+00	1.038554563890106586e+00	2.962962962962962798e+00
5.501424545156541335e+00	1.040974101202954749e+00	3.003003003003002824e+00
5.668444185257863310e+00	1.043265740486396531e+00	3.043043043043042850e+00
5.834084197689255902e+00	1.045444001187565419e+00	3.083083083083082876e+00
5.997965473867525432e+00	1.047520692286931787e+00	3.123123123123122902e+00
6.159699420987537088e+00	1.049505234762854844e+00	3.163163163163162928e+00
6.318888597884190439e+00	1.051404960287426027e+00	3.203203203203202953e+00
6.475127385017006354e+00	1.053225384229609318e+00	3.243243243243243423e+00
6.628002686990274839e+00	1.054970452340874498e+00	3.283283283283283449e+00
6.777094666035080373e+00	1.056642761476863424e+00	3.323323323323323475e+00
6.921977504774081247e+00	1.058243755398648567e+00	3.363363363363363501e+00
7.062220196291266738e+00	1.059773897169068002e+00	3.403403403403403527e+00
7.197387359576686627e+00	1.061232820038397584e+00	3.443443443443443552e+00
7.327040080544557021e+00	1.062619459012994927e+00	3.483483483483483578e+00
7.450736775033174553e+00	1.063932164498597510e+00	3.523523523523523604e+00
7.568034070025297488e+00	1.065168800510948310e+00	3.563563563563563630e+00
7.678487703471126302e+00	1.066326829656464525e+00	3.603603603603603656e+00
7.781653449249318122e+00	1.067403386106205998e+00	3.643643643643643681e+00
7.877088042864363260e+00	1.068395337714128646e+00	3.683683683683683707e+00
7.964350128748337809e+00	1.069299340068034621e+00	3.723723723723723733e+00
