displacement 	force 	time
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.557292983681335640e-07	2.557292507556043235e-07	6.006006006006005954e-02
1.652574893877449631e-06	1.652573314463715425e-06	1.201201201201201191e-01
6.491509686229683364e-06	6.491485756264857904e-06	1.801801801801801717e-01
1.856575962957013890e-05	1.856557540089873106e-05	2.402402402402402382e-01
4.299589117505642270e-05	4.299493733627526338e-05	3.003003003003003046e-01
8.633805149011411918e-05	8.633427497855029604e-05	3.603603603603603434e-01
1.566283965934254911e-04	1.566160877125910079e-04	4.204204204204204376e-01
2.629051080293446025e-04	2.628704615461930922e-04	4.804804804804804763e-01
4.154655486892909499e-04	4.153779687963565369e-04	5.405405405405405705e-01
6.252584599903877492e-04	6.250606327396697774e-04	6.006006006006006093e-01
9.042375336185263287e-04	9.038261377828530957e-04	6.606606606606606480e-01
1.265034903524692731e-03	1.264231759172861503e-03	7.207207207207206867e-01
1.720708819150469941e-03	1.719226010827862609e-03	7.807807807807807254e-01
2.284684304567936343e-03	2.282078497925780786e-03	8.408408408408408752e-01
2.970630452217490596e-03	2.966234164114974533e-03	9.009009009009009139e-01
3.792134445072234232e-03	3.784978764463683802e-03	9.609609609609609526e-01
4.762624306467573565e-03	4.751355992178609745e-03	1.021021021021021102e+00
5.895162500471343853e-03	5.877922554445899617e-03	1.081081081081081141e+00
7.202219240721085582e-03	7.176512483408345813e-03	1.141141141141141180e+00
8.695671392759861396e-03	8.658255912879522093e-03	1.201201201201201219e+00
1.038633498580317747e-02	1.033302634489035969e-02	1.261261261261261257e+00
1.228404684133645522e-02	1.220956629980774963e-02	1.321321321321321296e+00
1.439722777688627955e-02	1.429502971595049236e-02	1.381381381381381335e+00
1.673297755301465101e-02	1.659506777118974208e-02	1.441441441441441373e+00
1.929669897189227948e-02	1.911347872424766850e-02	1.501501501501501412e+00
2.209221915418287108e-02	2.185232019938301504e-02	1.561561561561561451e+00
2.512130411601778621e-02	2.481145431673088472e-02	1.621621621621621712e+00
2.838391239435855695e-02	2.798880826153794105e-02	1.681681681681681750e+00
3.187770364202065221e-02	3.137995893888882032e-02	1.741741741741741789e+00
3.559831681713522544e-02	3.497839251412325490e-02	1.801801801801801828e+00
3.953897573451366915e-02	3.877526013680442085e-02	1.861861861861861867e+00
4.369063244018790704e-02	4.275942795317558970e-02	1.921921921921921905e+00
4.804186106432956072e-02	4.691755005182265265e-02	1.981981981981981944e+00
5.257878175672722754e-02	5.123410793171898070e-02	2.042042042042042205e+00
5.728476194607797639e-02	5.569107787197487974e-02	2.102102102102102243e+00
6.214084197395767367e-02	6.026849210554895142e-02	2.162162162162162282e+00
6.712570197431114161e-02	6.494448107169251139e-02	2.222222222222222321e+00
7.221556011220102433e-02	6.969522968841000699e-02	2.282282282282282360e+00
7.738452401315165652e-02	7.449539118775344582e-02	2.342342342342342398e+00
8.260435080842823408e-02	7.931793816507844153e-02	2.402402402402402437e+00
8.784432944889573880e-02	8.413412579338636066e-02	2.462462462462462476e+00
9.307168891721881443e-02	8.891390922755784687e-02	2.522522522522522515e+00
9.825174007777048857e-02	9.362611944175543155e-02	2.582582582582582553e+00
1.033479878590534973e-01	9.823859000751293535e-02	2.642642642642642592e+00
1.083223242665677793e-01	1.027183617094708512e-01	2.702702702702702631e+00
1.131351000041281724e-01	1.070317072277623127e-01	2.762762762762762669e+00
1.177453118547286542e-01	1.111443104821714517e-01	2.822822822822822708e+00
1.221108864477895573e-01	1.150214316678386806e-01	2.882882882882882747e+00
1.261888281519494281e-01	1.186280006802033077e-01	2.942942942942942786e+00
